species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Myiagra_hebetior	381031	13909	15674	828	828	823	661
Myiozetetes_cayanensis	478635	35678	35689	957	957	915	708
Neopelma_chrysocephalum	114329	39443	39483	920	920	896	705
Neopipo_cinnamomea	456388	14004	15594	849	849	849	666
Nesospiza_acunhae	381881	14089	16451	836	836	833	650
Nestor_notabilis	176057	15873	15886	844	844	760	625
Nicator_chloris	237433	13597	15134	820	820	819	642
Nipponia_nippon	128390	17089	17103	902	902	850	672
Nothocercus_julius	2585813	13366	14778	820	820	819	653
Nothocercus_nigrocapillus	1977171	13113	14502	804	804	804	647
Nothoprocta_ornata	83376	13727	14967	846	846	846	674
Nothoprocta_pentlandii	2585814	13407	14572	817	817	817	656
Notiomystis_cincta	366454	13651	15126	828	828	827	663
Numida_meleagris	8996	43240	43271	926	926	889	708
Nyctibius_bracteatus	48426	13957	15627	820	820	820	654
Nycticryphes_semicollaris	227226	14324	15825	853	853	853	678
Nyctiprogne_leucopyga	382315	13386	14986	789	789	789	625
Oceanites_oceanicus	79653	14222	15848	832	832	832	658
Oceanodroma_tethys	79633	14013	15643	825	825	816	654
Odontophorus_gujanensis	886794	13830	15407	845	845	844	674
Oenanthe_oenanthe	279966	13570	15622	818	818	817	657
Onychorhynchus_coronatus	360224	14358	15806	852	852	852	668
Onychostruthus_taczanowskii	356909	32357	32382	944	944	923	714
Opisthocomus_hoazin	30419	14878	14891	828	828	767	629
Oreocharis_arfaki	979223	13998	15477	843	843	841	669
Oreotrochilus_melanogaster	689266	12134	13547	764	764	761	632
Origma_solitaria	720586	14477	16053	853	853	851	672
Oriolus_oriolus	181099	13936	15592	815	815	815	656
Orthonyx_spaldingii	38397	14292	15842	863	863	862	682
Oxyruncus_cristatus	114331	14046	15543	851	851	850	679
Oxyura_jamaicensis	8884	39795	39815	899	899	889	705
Pachycephala_philippinensis	449367	13335	15252	812	812	809	649
Pachyramphus_minor	369605	13741	15567	838	838	836	666
Panurus_biarmicus	181101	12822	14599	794	794	794	628
Pardalotus_punctatus	254575	13671	15208	823	823	823	659
Parus_major	9157	38619	38630	909	909	902	716
Passer_montanus	9160	39149	39184	944	944	915	703
Passerina_amoena	142471	12985	15090	744	744	744	607
Patagioenas_fasciata	372321	24805	24805	907	907	903	708
Pedionomus_torquatus	227192	13321	14803	807	807	806	654
Pelecanoides_urinatrix	37079	14766	16294	860	860	860	678
Pelecanus_crispus	36300	16298	16312	851	851	765	629
Penelope_pileata	1118817	13955	15603	838	838	833	672
Peucedramus_taeniatus	135441	13677	15371	802	802	799	639
Phaethon_lepturus	97097	16216	16226	872	872	803	644
Phaetusa_simplex	297813	13260	14985	814	814	812	646
Phainopepla_nitens	161653	13545	15189	810	810	810	650
Phasianus_colchicus	9054	29007	29046	944	944	928	712
Pheucticus_melanocephalus	371919	12796	15291	765	765	765	612
Piaya_cayana	33601	14022	15360	835	835	832	660
Picathartes_gymnocephalus	175131	13533	15038	825	825	825	651
Pipra_filicauda	649802	35857	35876	914	914	906	714
Piprites_chloris	114369	14148	15627	836	836	836	668
Pitangus_sulphuratus	371930	17493	17493	758	758	749	610
Pitta_sordida	9163	13881	15488	827	827	820	658
Platysteira_castanea	1160851	14025	15818	834	834	834	666
Ploceus_nigricollis	441696	13528	15285	791	791	785	640
Pluvianellus_socialis	227228	14317	15695	846	846	844	671
Podilymbus_podiceps	9252	14202	15688	856	856	856	682
Polioptila_caerulea	66707	13551	15263	818	818	815	657
Pomatorhinus_ruficollis	932028	12971	14693	798	798	798	629
Pomatostomus_ruficeps	9176	13299	14825	804	804	796	628
Probosciger_aterrimus	141839	14014	15658	842	842	842	663
Promerops_cafer	254652	14105	15664	835	835	834	672
Prunella_fulvescens	670355	13371	15011	813	813	810	647
Prunella_himalayana	670356	13898	15589	821	821	821	659
Pseudopodoces_humilis	181119	27572	27583	967	967	955	726
Psilopogon_haemacephalus	2585815	13550	15382	859	859	858	683
Psophia_crepitans	54359	13863	15289	817	817	817	660
Pterocles_burchelli	2585816	13870	15378	841	841	841	673
Pterocles_gutturalis	240206	15872	15891	845	845	749	606
Ptilonorhynchus_violaceus	28724	13930	15687	826	826	826	658
Ptilorrhoa_leucosticta	449384	13511	15238	815	815	815	647
Pycnonotus_jocosus	182897	13900	15553	820	820	816	651
Pygoscelis_adeliae	9238	16927	16934	840	840	784	640
Pygoscelis_antarcticus	79643	14226	15293	797	797	797	645
Pygoscelis_papua	30457	14896	16513	811	811	811	647
Pyrgilauda_ruficollis	221976	32632	32674	940	940	925	718
Quiscalus_mexicanus	64278	13606	15214	818	818	815	655
Ramphastos_sulfuratus	322582	14059	15325	863	863	861	677
Regulus_satrapa	13245	12999	14668	789	789	787	637
Rhabdornis_inornatus	237438	14377	16122	858	858	852	669
Rhadina_sibilatrix	2585818	13641	15289	818	818	817	657
Rhagologus_leucostigma	156170	14230	15977	847	847	841	669
Rhinopomastus_cyanomelas	113115	14811	16265	909	909	908	698
Rhinoptilus_africanus	240209	13689	15206	835	835	835	668
Rhipidura_dahli	667186	14178	15777	850	850	848	675
Rhodinocichla_rosea	58203	14122	16009	834	834	834	662
Rissa_tridactyla	75485	14776	16143	879	879	879	690
Rostratula_benghalensis	118793	14222	15696	843	843	843	675
Rynchops_niger	227184	14332	15911	845	845	843	671
Sagittarius_serpentarius	56258	12828	14359	749	749	746	590
Sakesphorus_luctuosus	419690	14142	15814	833	833	827	660
Sander_lucioperca	283035	56557	56899	930	930	928	718
Sapayoa_aenigma	239371	13868	15342	843	843	843	666
Sclerurus_mexicanus	265632	14042	15594	850	850	844	674
Scopus_umbretta	33581	12285	13524	753	753	752	597
Scytalopus_superciliaris	312124	13855	15352	813	813	807	649
Serilophus_lunatus	239386	14124	15625	834	834	826	662
Serinus_canaria	9135	36092	36106	911	911	900	719
Sinosuthora_webbiana	337173	14265	16033	848	848	846	671
Sitta_europaea	50251	13557	15260	814	814	812	658
Smithornis_capensis	363769	13856	15437	829	829	829	661
Spheniscus_demersus	92683	14240	15881	814	814	814	653
Spheniscus_magellanicus	37081	15289	16569	861	861	860	679
Spizaetus_tyrannus	252798	14362	15926	853	853	853	674
Steatornis_caripensis	48435	14562	16035	860	860	859	681
Stercorarius_parasiticus	54059	13876	15710	834	834	831	663
Sterrhoptilus_dennistouni	2585820	13251	15328	816	816	815	651
Strigops_habroptila	2489341	43613	43644	935	935	926	714
Struthidea_cinerea	181839	14144	15788	839	839	838	670
Struthio_camelus	8801	25438	25453	879	879	841	678
Sturnus_vulgaris	9172	26611	26619	935	935	921	718
Sula_dactylatra	56068	12967	14518	757	757	755	591
Sylvietta_virens	208069	13783	15515	839	839	838	663
Syrrhaptes_paradoxus	302527	13541	14915	813	813	813	630
Tachuris_rubrigastra	495162	14339	15801	866	866	866	681
Taeniopygia_guttata	59729	41214	41237	956	956	897	681
Tauraco_erythrolophus	121530	16054	16071	842	842	739	597
Thinocorus_orbignyianus	161742	14061	15558	843	843	838	667
Thryothorus_ludovicianus	74200	13691	15419	829	829	825	664
Tinamus_guttatus	94827	17873	17892	856	856	805	649
Toxostoma_redivivum	99882	14163	15934	861	861	853	680
Tribolium_castaneum	7070	22610	22610	961	961	955	715
Tricholaema_leucomelas	240729	14343	15652	870	870	870	683
Trogon_melanurus	56311	14150	15508	836	836	836	673
Turdus_rufiventris	311356	18334	18334	862	862	860	685
Turnix_velox	2529409	13135	14264	803	803	803	640
Tympanuchus_pallidicinctus	109042	41567	41586	905	905	897	713
Tyrannus_savana	137541	13574	15454	810	810	810	649
