species	gap_Wb_WC_notambiguous	gap_WC_duet	gap_WC_duet_ambiguous	gap_WC_duet_notambiguous	rho_aa_fpkm	pval_aa_fpkm	nb_codon_not_decoded	gc3	var_gc3	gci	var_gci	gc3_top5	gci_top5	lm_r2_gc3_gci	lm_pval_gc3_gci	nb_genes	nb_aa	species	freq_constrain_Wb_WC_notambiguous	freq_constrain_WC_duet	freq_constrain_WC_duet_ambiguous	freq_constrain_WC_duet_notambiguous
Erinaceus_europaeus	0.01766	-0.00529999999999997	-0.01017	0.00107999999999997	0.614111422845395	0.0039698505453533	0	0.619439816582069	0.0294935711917177	0.465692637135366	0.00709092255612547	0.634131983229286	0.475137599194482	0.615409193879786	0	14349	2	Erinaceus_europaeus	0.00841351243105803	-0.024064045406327	-0.0220048011742719	-0.00759415921909501
Felis_catus	0.0178	-0.0143	-0.0184800000000001	-0.01363	0.776063723888804	0.0000577058560725104	0	0.619360934845304	0.0267560276895039	0.470182547270815	0.00832049269183674	0.622996920034068	0.47989969756172	0.678710597195287	0	15176	4	Felis_catus	0.00299478568463296	-0.0292561775575	-0.0280471720951641	-0.024246118930034
Oryctolagus_cuniculus	0.01321	-0.0112499999999999	-0.00757999999999998	-0.0295599999999999	0.801810639811423	0.0000212774899814028	0	0.644416697425019	0.0303230896291924	0.498994266124629	0.00895349862308731	0.652486756345038	0.518440008496624	0.67231852489475	0	15080	3	Oryctolagus_cuniculus	-0.00207748247892903	-0.0263646037202311	-0.029779529383312	-0.013382996641835
Rattus_norvegicus	0.00751999999999997	0.00768999999999997	-0.00348999999999994	0.013	0.631262889661069	0.00283632099684709	0	0.599346964135864	0.0123232619894524	0.459838410156806	0.00286582022943829	0.607912542980722	0.469611935705771	0.526084147682749	0	16927	3	Rattus_norvegicus	0.017046264135666	-0.00996669264180494	-0.026029483277626	0.0128968806207661
Mus_musculus	0.02477	0.00872000000000006	-0.00274999999999997	0.00707000000000002	0.624910109735382	0.00321969564135843	0	0.598372894359335	0.0133054134316816	0.456313069570442	0.00298283441981814	0.610160350908178	0.468392916413101	0.526373381417182	0	16780	4	Mus_musculus	0.01100435493622	-0.028338101704288	-0.0247479473132199	-0.015765478651713
Gallus_gallus	0.04027	0.00439000000000001	-0.000950000000000006	-0.00417000000000001	0.711112372124164	0.000439668336332138	0	0.603323688191461	0.0278145710703674	0.475147591435506	0.0107352014780377	0.626793932550978	0.501172738184531	0.740857719886241	0	15543	3	Gallus_gallus	0.013122622510248	-0.0296838017693799	-0.01990519649917	-0.018753806311561
Loxodonta_africana	0.00849	-0.00486000000000003	-0.01045	-0.00200999999999996	0.713050069229928	0.000417114634786804	0	0.588323619606836	0.020905774245825	0.447995512676363	0.00550849224595969	0.599595112467045	0.453281332906339	0.607144458197493	0	17602	7	Loxodonta_africana	0.00580594568554899	-0.00101975369854501	-0.011702455841629	-0.00162804797865101
Sus_scrofa	0.01725	-0.0202300000000001	-0.01854	-0.0169800000000001	0.825122284752354	0.00000755616763415194	0	0.627214173584656	0.0270911416144121	0.473232315904577	0.00754705593976794	0.637375201936931	0.486103121252087	0.656876457241738	0	14414	5	Sus_scrofa	0.019129720423312	0.00123425247536202	-0.025829082845101	0.0106489966465469
Canis_lupus	0.02717	0.00007000000000007	0.0173	-0.00744	0.73220468824649	0.000242117766390997	0	0.619167454022181	0.0279376091202618	0.468544706382072	0.00948957128685351	0.702188692611564	0.537776737228305	0.638209440011581	0	16600	3	Canis_lupus	0.015086795431787	-0.0108322277071601	-0.041343031480316	0.0267966883654369
Danio_rerio	0.01202	0.0434299999999999	NA	0.0434299999999999	0.706766917293233	0.000494044115314917	0	0.55277504709708	0.0086867836597154	0.348824264630373	0.00127588074982558	0.573980378890777	0.344822114603252	0.0677409366611238	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000197626258336499	22735	8	Danio_rerio	NA	NA	NA	NA
Xenopus_tropicalis	0.00948999999999994	0.01327	0.00109999999999999	0.0218100000000001	0.763444958089005	0.0000898858337417296	0	0.485046631480454	0.0112195468160883	0.402732848416765	0.00187941742722459	0.494141140633434	0.403875093324169	0.486639477603482	0	16404	6	Xenopus_tropicalis	0.000500360813913969	-0.00805042322623106	0.023027870410505	-0.010233599125713
Xenopus_laevis	0.02419	0.02052	0.00306000000000001	0.02456	0.741353383458647	0.00018373904000046	0	0.481749945537297	0.00880697484540549	0.391090796471968	0.000808283081355517	0.491205121551228	0.390239156285547	0.356984674460588	0	23217	7	Xenopus_laevis	0.00828882722205598	0.001552363179044	-0.00116420928981903	-0.00160309068368097
Callorhinchus_milii	0.000990000000000046	-0.02878	-0.04014	-0.02664	0.735891856177034	0.000216924556093599	0	0.553632191352179	0.0167988398177694	0.428355143769718	0.00269757166642796	0.532620585171124	0.423484754692692	0.513659298347069	0	14866	8	Callorhinchus_milii	0.021344291913114	-0.021632036273426	-0.041624827018657	-0.020581304497484
Homo_sapiens	0.00632999999999995	-0.02606	-0.00206000000000001	-0.0496799999999999	0.510910603623932	0.0213295488032493	0	0.596658907454125	0.0265866156923862	0.459519997070043	0.00665023637017073	0.625406119072965	0.488896110872323	0.631735460786446	0	17356	4	Homo_sapiens	-0.00637045582451101	-0.027421673967989	-0.0336931277781181	-0.021827279492971
Equus_caballus	0.04183	0.0128700000000001	0.0184399999999999	0.00137999999999994	0.708585140923872	0.000470635315848484	0	0.621279501141756	0.0266269528757653	0.464986305941004	0.00815605350900503	0.664421922837239	0.500882721068159	0.673628640560749	0	16532	4	Equus_caballus	0.00869564889825503	-0.0341709087881431	-0.037790176818204	-0.026388852478291
Blattella_germanica	0.00190000000000001	0.00619000000000003	0.0325	0.00266999999999995	0.68272531286823	0.000909499872593694	0	0.384839955491888	0.0105153580265098	0.337057160622424	0.000541914674167463	0.411278752297392	0.333298790615557	0.0181722686888258	0.00000000000000000000000000000000000000000646029364950206	10959	8	Blattella_germanica	-0.00669187619233103	0.00113546120976099	0.003507630679777	0.00317885750842101
Cryptotermes_secundus	0.00244	0.00249999999999995	0.02426	-0.0317	0.797590412975308	0.0000252978470961927	0	0.443239234101671	0.00950092484659457	0.391531171211456	0.000854896935832412	0.471709183089484	0.392356589470731	0.325381289011736	0	11828	3	Cryptotermes_secundus	0.021410622902659	0.00128836792396703	0.041935783593554	-0.016720302980513
