species	brain_size_max	body_mass_max
Atelerix_albiventris	0.00176	0.28
Ateles_dariensis	0.1184	8.89
Ateles_geoffroyi	0.1077	4.76
Ateles_paniscus	0.12	5.22
Atherurus_africanus	0.0253	3.629
Atherurus_macrourus	0.03157	2
Atilax_paludinosus	0.02784	3.3
Atrichornis_clamosus	0.0017612	0.043
Atta_colombica	0.000000115	0.000024978
Atta_columbica	NA	0.0000333
Auliscomys_boliviensis	NA	0.0768
Auliscomys_micropus	NA	0.0623
Auriparus_flaviceps	NA	0.0068
Automerina_auletes	NA	0.00072
Automeris_belti	NA	0.000665
Automeris_fieldi	NA	0.000394
Automeris_hamata	NA	0.000564
Automeris_jacunda	NA	0.001402
Automeris_zugana	NA	0.000874
Avahi_laniger	0.01145	1.27
Avahi_occidentalis	0.00967	0.86
Aviceda_subcristata	0.0048692	0.3535
Aythya_americana	0.00567728	NA
Aythya_australis	0.00506604	0.85
Aythya_ferina	NA	0.816
Aythya_fuligula	NA	0.571
Aythya_marila	0.0047859	0.787
Aythya_nyroca	NA	0.44
Aythya_valisineria	0.0070448	NA
Azteca_sp.1	0.000000051	0.000000717
Azteca_sp.2	0.000000072	0.000001743
Balearica_pavonina	0.01354	4.825
Barnardius_zonarius	0.00405076	0.1416
Bassaricyon_alleni	0.01937	1.235
Bassariscus_astutus	0.0171	NA
Bettongia_gaimardi	0.0121212	1.273
Bettongia_lesueur	0.010878	1.105
Bettongia_penicillata	0.00990416	0.981
Bettongia_tropica	0.00924112	1.015
Birgus_latro	0.000000000000000000000000104636	NA
Bison_bison	0.334	54.88
Biziura_lobata	0.00903392	1.975
Blaberus_craniifer	0.0000097	0.004727
Blaberus_discoidalis	NA	0.00408
Blaberus_giganteous	NA	0.00433
Blarina_brevicauda	0.00037	0.0188
Boa_constrictor	0.00044	1.829
Boissonneaua_matthewsii	NA	0.0072
Bombus_impatiens	0.0000032025880173	0.0002795
Bootettix_punctatus	NA	0.00006675
Bos_taurus	0.307	NA
Boselaphus_tragocamelus	0.288	125
Botaurus_poiciloptilus	0.0060088	1.16
Brachygastra_smithii	0.000000275058	NA
Brachymesia_gravida	NA	0.000344
Brachymyrmex_sp.1	0.000000006	0.000000044
Brachymyrmex_sp.2	0.000000006	0.0000000745
Brachypteryx_montana	NA	0.02027
Bradypus_griseus	0.018	3.774
Bradypus_tridactylus	0.0249	4.097
Branta_canadensis	0.01209012	NA
Brasilanus_batus	NA	0.001965
Bronchocela_cristatella	0.000029	NA
Bubo_virginianus	0.0137	1.177
Bucephala_clangula	0.00605024	NA
Bucephala_islandica	0.00634032	NA
Bucorvus_leadbeateri	0.02625	2.15
Bulweria_bulwerii	NA	0.087
Bunopus_tuberculatus	NA	0.0022
Burhinus_grallarius	0.00446516	0.695
Burramys_parvus	0.001036	0.0366
Buteo_buteo	NA	1.012
Buteo_vulpinus	0.00799	0.558
Butorides_striata	0.00256928	0.225
Byrsotria_fumagata	NA	0.00495
Cacatua_galerita	0.01475264	0.728
Cacatua_pastinator	0.01138564	0.765
Cacatua_sanguinea	0.00923076	0.472
Cacatua_tenuirostris	0.01102304	0.565
Cacomantis_castaneiventris	0.0009842	0.03
Cacomantis_flabelliformis	0.00112924	0.0538
Cacomantis_pallidus	0.00148148	0.0905
Cacomantis_variolosus	0.00100492	0.038
Caenolestes_fuliginosus	0.00070448	0.0179
Calamanthus_campestris	0.00066304	0.014
Calamanthus_fuliginosus	0.0007252	0.0208
Calamospiza_melanocorys	NA	0.0326
Calidris_acuminata	0.00102564	0.065
Calidris_alba	0.00104636	0.06
Calidris_canutus	0.00136752	0.12
Calidris_ferruginea	0.00102564	0.057
Calidris_melanotos	0.00112924	0.0609
Calidris_ruficollis	0.00068376	0.0268
Calidris_subminuta	0.00061124	0.025
Calidris_tenuirostris	0.00159544	0.155
Callipepla_californica	NA	0.1496
Callipepla_gambelii	NA	0.145
Callithrix_jacchus	0.009	0.242
Callithrix_pygmaea	0.00464	0.13475
Callocephalon_fimbriatum	0.00774928	0.25
Callonetta_leucophrys	0.00308728	NA
Callopistes_maculatus	0.000318	NA
Callorhinus_ursinus	0.31875	NA
Callospermophilus_sp.	0.003	NA
Calocitta_formosa	0.0042	0.21
Calosoma_affine	NA	0.00062
Calosoma_chlorostictum	NA	0.000521
Calosoma_indet	NA	0.000079
Calosoma_sp.	NA	0.00015123
Calotes_versicolor	0.000097	NA
Caluromys_derbianus	0.0035224	0.289
Caluromys_philander	0.003626	0.277
Calyptorhynchus_banksii	0.0123802	0.67
Calyptorhynchus_baudinii	0.01515668	0.66
Calyptorhynchus_funereus	0.01562288	0.66
Calyptorhynchus_lathami	0.01013208	0.463
Calyptorhynchus_latirostris	0.014763	0.65
Camponotus_detritus	NA	NA
Camponotus_fulvopilosus	NA	0.0001553
Camponotus_herculeanus	NA	0.00001042
Camponotus_laevigatus	NA	0.00001915
Camponotus_maculatus	NA	0.0001292
Camponotus_sericeiventris	0.00000044	0.0000402
Camponotus_sp.	NA	0.00001541
Camponotus_sp.1	0.000000184	0.0000050525
Camponotus_sp.2	0.000000295	0.00002213
Camponotus_sp.3	0.000000304	0.000025665
Camponotus_vafer	NA	0.00000451
Camponotus_vicinus	NA	0.0001074
Canis_familiaris	0.1307	38.42
Canis_latrans	0.08424	8.51
Canis_lubilus	0.152	29.94
Canis_lupus	0.119	22.68
Canis_mesomelas	0.0548	8
Cannomys_badius	NA	0.344
Capra_aegagrus	0.1306	NA
Caprimulgus_macrurus	0.00104636	0.0675
Capromys_pilorides	0.0045	0.155
Caracal_caracal	0.0519	7.67
Cardellina_rubrifrons	NA	0.00999
Carenum_sp.	NA	0.00461
Caretta_caretta	0.0027	NA
Carlito_syrichta	0.00363	0.0875
Carollia_perspicillata	0.00047	0.016
Carterornis_leucotis	0.00053872	0.0121
Casinycteris_argynnis	0.00092	0.0405
Casmerodius_albus	0.00612	1.03
Castor_canadensis	0.02952	5.83
Casuarius_casuarius	0.0376586	43.85
Cathartes_aura	0.0093	0.494
Catharus_guttatus	NA	0.02907
Cavia_apera	0.0028	0.088
Cavia_porcellus	0.0064	0.648
Cebuella_pygmaea	NA	0.133
Cebus_albifrons	0.0652	1.77
Cebus_apella	0.0708	2.77
Cebus_capucinus	0.0733	3.833
Cebus_olivaceus	0.0725	1.262
Centrioptera_muricata	NA	0.0001326
Centropus_phasianinus	0.00426832	0.377
Centropus_senegalensis	NA	0.175
Cephalophus_monticola	NA	4.15
Cephalotes_atratus	0.000000417	0.0000317655
Cephalotes_sp.	0.00000014	0.00000736
Cephalotes_umbraculatus	0.00000016	0.00000798
Cephalotes_varians	0.00000004173444381848	NA
Cerastes_vipera	0.000076	NA
Ceratopipra_mentalis	NA	0.0145
Cercartetus_caudatus	0.00073556	0.0193
Cercartetus_concinnus	0.0003108	0.0095
Cercartetus_lepidus	0.00037296	0.0078
Cercartetus_nanus	0.00044548	0.012
Cercocebus_agilis	0.0953	4.7
Cercocebus_fuliginosus	0.1305	7.735
Cercopithecus_aethiops	0.06089	3.955
Cercopithecus_callitrichus	0.0815	3
Cercopithecus_cynosurus	0.072	2.92
Cercopithecus_griseoviridis	0.06	1.908
Cercopithecus_mitis	0.0666	4.55
Cercopithecus_rufoviridis	0.051	2.05
Cercopithecus_sabaeus	0.0748	1.44
Cercopithecus_sp.	0.0607	4.937
Cerdocyon_thous	NA	6.874
Cereopsis_novaehollandiae	0.00914788	5
Cerotalis_sp.	NA	0.000607
Certhia_americana	NA	0.00747
Certhionyx_variegatus	0.00087024	0.027
Cervus_canadensis	0.4093	200
Ceuthophilus_fossor	NA	0.00007015
Ceyx_azureus	0.00101528	0.035
Chaerophon_Ieucostigma	0.00039	0.0265
Chaerophon_limbatus	0.00029	0.0133
Chaeropus_ecaudatus	0.0024864	0.327
Chaetocercus_mulsant	NA	0.0033
Chalarodon_madagascariensis	0.00006	NA
Chalcides_chalcides	0.0000555	NA
Chalcides_mionecton	0.00003	NA
Chalcides_ocellatus	0.00009	NA
Chalcides_polylepis	0.000037	NA
Chalcomitra_adelberti	NA	0.0095
Chalcomitra_amethystina	NA	0.01
Chalcomitra_senegalensis	NA	0.0126
Chalcophaps_indica	0.001295	0.135
Chamaeza_campanisona	0.0019	NA
