species	brain_size_max	body_mass_max
Otospermophilus_beecheyi	NA	0.5996
Otus_scops	NA	0.0134
Oxymycterus_roberti	NA	0.096
Oxyura_australis	0.00416472	0.85
Pachycephala_hypoxantha	NA	0.02299
Pachycephala_olivacea	0.00153328	0.04
Pachycephala_pectoralis	0.00116032	0.0274
Pachycephala_rufiventris	0.00106708	0.0226
Pachycephala_rufogularis	0.00112924	0.037
Pachycephala_simplex	0.00085988	0.0175
Pachycondyla_apicalis	0.000000659	0.000040717
Pachycondyla_obscuricornis	0.000000397	0.0000151775
Pachycondyla_sp.1	0.00000019	0.0000097
Pachycondyla_sp.2	0.000000155	0.0000044785
Pachycondyla_sp.3	0.000000075	0.000002723
Pachycondyla_villosa	0.000000503	0.000046435
Pachydiplax_longipennis	NA	0.0002
Pachygonia_drucei	NA	0.000702
Pachylia_ficus	NA	0.003225
Pachylomerus_femoralis	NA	0.004915
Pachyptila_belcheri	0.002072	0.149
Pachyptila_desolata	0.0021756	0.152
Pachyptila_salvini	0.00213416	0.165
Pachyptila_turtur	0.002072	0.1279
Paguma_larvata	0.02647	4.3
Pan_troglodytes	0.44	60.43316
Pandion_cristatus	0.00971768	1.415
Pantala_flavescens	NA	0.000339
Panthera_leo	0.2595	84
Panthera_onca	0.147	34.47
Panthera_pardus	0.135	48
Panthera_tigris	0.302	209
Pantophthalmus_tabaninus	NA	0.001746
Papio_anubis	0.1747	16.06
Papio_cynocephalus	0.197	19.51
Parachartergus_smithii	0.0000002126908	NA
Paracynictis_selousi	0.01673	1.64
Paradoxurus_hermaphroditus	0.0282	3.047
Parantechinus_apicalis	0.0012432	0.0605
Parantechinus_bilarni	0.0006734	0.0294
Parantechinus_macdonnellensis	0.00050764	0.024
Parantechinus_roryi	0.00043512	0.0166
Parantechinus_rosamondae	0.00055944	0.0199
Paraponera_clavata	0.00000173	0.00019
Paratrechina_longicornis	0.000000028	0.000000342
Pardalotus_punctatus	0.0004144	0.009
Pardalotus_striatus	0.00053872	0.0106
Pardosa_lugubris	NA	0.0000224
Parotomys_brantsii	NA	0.0865
Parus_gambeli	NA	0.01165
Passer_domesticus	0.0010278	0.02357
Passer_montanus	NA	0.0175
Passerella_iliaca	NA	0.0317
Patagona_gigas	NA	0.0175
Pecari_tajacu	0.0853	NA
Pedionomus_torquatus	0.00079772	0.0675
Pelagodroma_marina	0.00100492	0.055
Pelecanoides_georgicus	NA	0.127
Pelecanoides_urinatrix	0.00175084	0.15
Pelecanus_conspicillatus	0.02577568	5.4
Pelicanus_occidentalis	0.01745	3.29
Pelidnota_sp.	NA	0.005289
Peneonanthe_pulverulenta	0.00085988	0.02
Perameles_bougainville	0.00332556	0.457
Perameles_gunnii	0.004662	1.002
Perameles_nasuta	0.00513856	0.96
Pergamasus_crassipes	NA	0.0000003401
Perigonia_lusca	NA	0.000858
Periplaneta_americana	0.000000195	0.0009
Perisoreus_canadensis	0.0024	0.075
Perisoreus_infaustus	0.0027	0.085
Peristeptus_sp.	NA	0.000055
Perithemis_tenera	NA	0.000061
Perodicticus_potto	0.014	1.15
Perognathus_californicus	NA	0.022
Perognathus_hispidus	NA	0.0395
Perognathus_longimembris	NA	0.00823
Peromyscus_pirrensis	NA	0.1743
Peromyscus_sp.	0.0004511	0.02
Peropteryx_macrotis	NA	0.0051
Peroryctes_raffrayana	0.00655788	0.977
Petauroides_volans	0.00521108	0.9
Petaurus_abidi	0.00396788	0.284
Petaurus_australis	0.00591556	0.39
Petaurus_biacensis	0.00174048	0.0845
Petaurus_breviceps	0.00216524	0.0891
Petaurus_norfolcensis	0.00312872	0.191
Petrochelidon_ariel	0.00037296	0.0105
Petrochelidon_nigricans	0.00053872	0.0167
Petrodromus_tetradactylus	NA	0.21
Petrogale_assimilis	0.01813	2.765
Petrogale_brachyotis	0.01554	2.494
Petrogale_concinna	0.011396	1.407
Petrogale_godmani	0.018648	3.276
Petrogale_herberti	0.0219632	3.977
Petrogale_inornata	0.017612	2.262
Petrogale_lateralis	0.0198912	3.61
Petrogale_mareeba	0.017612	3.186
Petrogale_penicillata	0.0247604	5.99
Petrogale_persephone	0.022274	5.732
Petrogale_venusta	0.017094	2.127
Petrogale_xanthopus	0.023828	4.65
Petroica_boodang	0.00053872	0.0133
Petroica_goodenovii	0.00038332	0.009
Petroica_phoenicea	0.00050764	0.013
Petroica_rodinogaster	0.00050764	0.0099
Petroica_rosea	0.00044548	0.008
Petrophassa_albipennis	0.0011396	0.125
Petropseudes_dahli	0.005219368	2
Peucetia_longipalpis	NA	0.0002574
Peucetia_viridans	NA	0.0001616
Pezoporus_wallicus	0.00275576	0.0775
Phaethon_rubricauda	0.00468272	0.8
Phalacrocorax_carbo	0.0108262	2.15
Phalacrocorax_fuscescens	0.00921004	1.515
Phalacrocorax_sulcirostris	0.00584304	1
Phalacrocorax_varius	0.00954156	2.2
Phalanger_carmelitae	0.00879564	1.754
Phalanger_gymnotis	0.013468	3.264
Phalanger_intercastellanus	0.0076146	1.434
Phalanger_lullulae	0.00630924	1.4
Phalanger_mimicus	0.0092204	1.473
Phalanger_orientalis	0.00763532	1.485
Phalanger_ornatus	0.00727272	1.448
Phalanger_rothschildi	0.00636104	1.244
Phalanger_sericeus	0.01031856	1.896
Phalanger_vestitus	0.00988344	1.85
Phalaropus_lobatus	0.0004662	0.034
Phaps_chalcoptera	0.00184408	0.335
Phaps_elegans	0.0017094	0.205
Phaps_histrionica	0.0017094	0.3
Phascogale_calura	0.00094276	0.0438
Phascogale_tapoatafa	0.00187516	0.15
Phascolarctos_cinereus	0.0209272	5.888
Phascolosorex_dorsalis	0.00114996	0.0475
Phasianus_colchicus	0.003289	0.625
Pheidole_obscurithorax	0.00000003	0.000000554
Pheidole_sp.1	0.000000008	0.000000093
Pheidole_sp.2	0.000000016	0.000000234
Pheidole_sp.3	0.000000008	0.000000069
Pheidole_sp.4	0.000000011	0.000000102
Pheidole_sp.5	0.00000002	0.000000254
Pheidole_sp.6	0.000000013	0.000000122
Pheidole_sp.7	0.000000049	0.000001027
Pheidole_sp.8	0.000000047	0.0000011645
Pheidole_sp.9	0.000000028	0.000000529
Phelsuma_cepediana	0.000059	NA
Phenacomys_intermedius	NA	0.0215
Phidippus_clarus	NA	0.00026
Phidippus_johnsoni	NA	0.000173
Phidippus_regius	0.00000027454	NA
Philander_opossum	0.00396788	0.57
Philemon_argenticeps	0.0017612	0.0874
Philemon_buceroides	0.0022274	0.1109
Philemon_citreogularis	0.00163688	0.0622
Philemon_corniculatus	0.00205128	0.1
Phoca_caspica	0.1625	NA
Phoca_fasciata	0.24875	NA
Phoca_groenlandica	0.275	NA
Phoca_hispida	0.19625	NA
Phoca_largha	0.25375	NA
Phoca_sibirica	0.1875	NA
Phoca_vitulina	0.27375	NA
Phocarctos_hookeri	0.39375	NA
Phoebastria_immutabilis	NA	2.522
Phoebetria_fusca	NA	2.875
Phoebetria_palpebrata	0.01754984	2.8
Phoeniconaias_minor	0.00805	1.598
Pholcus_phalangioideus	NA	0.0000276
Phrynocephalus_przewalskii	0.0008	NA
Phrynocolus_auriculatus	NA	0.000193
Phrynocolus_petrosus	NA	0.001109
Phrynocolus_sp.	NA	0.000204
Phrynosoma_coronatum	0.0001383	0.025
Phylidonyris_niger	0.0008288	0.0185
Phylidonyris_novaehollandiae	0.0009324	0.0204
Phylidonyris_pyrrhopterus	NA	0.0146
Phyllodactylus_gerrophygus	0.000018	NA
Phyllostomus_discolor	0.00089	0.033
Phyllotis_darwini	NA	0.0762
Phyllotis_magister	NA	0.0628
Phyllotis_rupestris	NA	0.0555
Physadesmia_globosa	NA	0.000743
Physosterna_cribripes	NA	0.001285
Phytocoris_nigripubescens	NA	0.00000127
Phytoseiulus_persimilis	NA	0.00000000859
Phytotoma_rara	0.0012	NA
Pica_nuttalli	0.0043	0.16
Pimelia_cenchronota	NA	0.001474
Pipilo_chlorurus	NA	0.03025
Piranga_ludoviciana	NA	0.0283
Pitta_versicolor	0.00193732	0.1
Planigale_gilesi	0.00017612	0.0061
Planigale_ingrami	0.0001554	0.0041
Planigale_maculata	0.0002072	0.0067
Planigale_novaeguineae	0.00027972	0.0086
Planigale_tenuirostris	0.00014504	0.0039
Platalea_flavipes	0.01152032	1.871
Platalea_regia	0.0118104	1.735
Platycercus_adscitus	0.00317016	0.1035
Platycercus_caledonicus	0.00376068	0.128
Platycercus_elegans	0.00391608	0.124
Platycercus_eximius	0.00311836	0.105
Platycercus_icterotis	0.00246568	0.065
Platycercus_venustus	0.00265216	0.0925
Platylophus_galericulatus	0.0025	NA
Platymantis_vitiensis	0.00000493136	0.0003
Plectorhyncha_lanceolata	0.00112924	0.04
Plectreurys_sp.	NA	0.0000647
Plectreurys_tristis	NA	0.0003404
Plegadis_falcinellus	0.00530432	0.5325
Pluvialis_fulva	0.00199948	0.1475
Pluvialis_squatarola	0.00265216	0.2752
Podargus_strigoides	0.00503496	0.285
Podiceps_cristatus	0.00322196	1.1
Podoces_hendersoni	0.0039	0.12
Podoces_panderi	0.0026	NA
Poecilodryas_cerviniventris	0.00074592	0.0199
Poecilodryas_superciliosa	0.00095312	0.0179
Poecilogale_albinucha	0.00456	0.34
Poephila_acuticauda	0.00052836	0.0145
Poephila_cincta	0.00048692	0.015
Poephila_personata	0.000518	0.0125
Pogonomymex_maricopa	NA	0.00000378
Pogonomyrmex_badius	0.000000139	0.000021941
Pogonomyrmex_sp.	NA	0.00000374
Poliocephalus_poliocephalus	0.00178192	0.24
Polistes_dominulus	0.000001376638956952	NA
Polistes_flavus	0.000001534486887164	NA
Polistes_fuscatus	0.000001530854966424	NA
Polistes_instabilis	0.0000005439	NA
Polybia_aequatorialis	0.000000231028	NA
Polybia_dimidiata	0.0000004435116	NA
Polybia_emaciata	0.0000001832684	NA
Polybia_flavitincta	0.000000439264	NA
Polybia_jurinei	0.0000005072256	NA
Polybia_plebeja	0.0000001648276	NA
Polybia_raui	0.0000002730896	NA
Polybia_rejecta	0.0000002929808	NA
Polybia_richardsi	0.0000002348612	NA
Polytelis_alexandrae	0.00267288	0.105
Polytelis_anthopeplus	0.0039886	0.175
Polytelis_swainsonii	0.0034706	0.145
Pomatostomus_halli	0.0016576	0.04
Pomatostomus_ruficeps	0.0024346	0.055
Pomatostomus_superciliosus	0.00157472	0.041
Pomatostomus_temporalis	0.0019684	0.0695
Pongo_pygmaeus	0.34199	54.22904
Popilius_sp.	NA	0.000744
Porcellio_laevis	NA	0.00001799
Porphyrio_porphyrio	0.0048692	0.9945
Porzana_fluminea	0.00106708	0.06
Porzana_pusilla	0.000777	0.037
Potamogale_velox	0.0041	0.66
Potorous_platyops	0.0065268	0.8
Potorous_tridactylus	0.00987308	1.283
Potos_flavus	0.03105	2.62
Prinia_maculosa	NA	0.00919
Probosciger_aterrimus	0.021238	0.806
Procavia_capensis	0.02	1.92
Procellaria_aequinoctialis	0.00931364	1.369
Procellaria_cinerea	0.00879564	1.032
Procyon_lotor	0.0427	5.216
Proechimys_brevicauda	0.00295	0.285
Prolemur_simus	0.00953	1.3
Propithecus_coquereli	0.0267	3.48
Propithecus_coronatus	0.0316	NA
Protambulyx_strigilis	NA	0.001261
Proteles_cristata	NA	7.71
Protopolybia_exigua	0.0000001167572	NA
Psaltriparus_minimus	NA	0.0055
Psammodromus_algirus	0.000045	NA
Psammodromus_hispanicus	0.000025	NA
Psephotus_chrysopterygius	0.0014504	0.04115
Psephotus_dissimilis	0.00180264	0.0475
Psephotus_haematonotus	0.00204092	0.0625
Psephotus_varius	0.00185444	0.055
Pseudacris_triseriata	0.00000225848	0.0001
Pseudoautomeris_salmonea	NA	0.00048
Pseudocheirus_occidentalis	0.00578088	0.759
Pseudocheirus_peregrinus	0.00468272	0.526
Pseudochirops_albertisii	0.00484848	0.713
Pseudochirops_archeri	0.00608132	0.678
Pseudochirops_corinnae	0.00555296	0.943
Pseudochirops_coronatus	0.00531468	1.5
Pseudochirops_cupreus	0.00781144	1.021
Pseudochirulus_canescens	0.0018648	0.141
Pseudochirulus_caroli	0.0033152	0.44
Pseudochirulus_forbesi	0.00348096	0.523
Pseudochirulus_herbertensis	0.00447552	0.9
Pseudochirulus_mayeri	0.00208236	0.125
Pseudochirulus_schlegeli	0.0029008	0.246
Pseudomyrmex_sp.1	0.000000135	0.000002889
Pseudomyrmex_sp.2	0.000000045	0.0000004985
Pseudomyrmex_sp.3	0.000000277	0.000005228
Pseudonaja_nuchalis	NA	0.2141
Psilochorus_utahensis	NA	0.00000186
Psilorhinus_morio	0.005	0.205
Psitteuteles_versicolor	0.002072	0.0536
Psophodes_cristatus	0.0014504	0.04
Psophodes_occidentalis	0.00137788	0.039
Psophodes_olivaceus	0.00225848	0.061
Pterodroma_brevirostris	NA	0.315
Pterodroma_hypoleuca	NA	0.169
Pterodroma_lessonii	0.00608132	0.692
Pterodroma_leucoptera	0.00256928	0.18
Pterodroma_macroptera	0.00505568	0.58
Pterodroma_mollis	NA	0.274
Pterohelaeus_sp.	NA	0.000258
Pteronotus_davyi	0.00031	0.0106
Pteropus_edwarsi	0.008	0.287
Pteropus_giganteus	0.01	0.414
Pteropus_vampyru	0.0102	1.22
Ptilinopus_magnificus	0.00224812	0.335
Ptilinopus_regina	0.00125356	0.095
Ptilinopus_superbus	0.00112924	0.107
Ptilonorhynchus_maculatus	0.0037814	0.147
Ptilonorhynchus_nuchalis	0.00519036	0.2
Ptilonorhynchus_violaceus	0.00488992	0.198
Ptiloris_magnificus	0.0029008	0.134
Ptiloris_paradiseus	0.00288008	0.12
Ptiloris_victoriae	0.00263144	0.0965
Ptilostomus_afer	0.0029	0.13
Ptyodactylus_hasselquistii	NA	0.0064
Puffinus_gavia	0.00302512	0.266
Puffinus_griseus	0.00301	0.268
Puffinus_nativitatis	NA	0.3076
Puma_concolor	0.1067	28.79
Purnella_albifrons	0.00074592	0.0175
Purpureicephalus_spurius	0.00361564	0.115
Pycnonotus_capensis	NA	0.03436
Pycnonotus_finlaysoni	NA	0.0263
Pycnonotus_goiavier	NA	0.0286
Pycnonotus_jocosus	NA	0.0329
Pycnoptilus_floccosus	0.00122248	0.0292
Pygoscelis_adeliae	NA	3.5
Pyroderus_scutatus	0.00445	NA
Pyrrhocorax_graculus	0.0035	0.15
Pyrrhocorax_pyrrhocorax	0.0061	0.3
Pyrrholaemus_brunneus	0.00059052	0.012
Python_bivittatus	0.001123	6.14
Python_molurus	0.0011234	NA
Quiscalus_quiscula_aeneus	0.00292	0.082
Ramsayornis_modestus	0.00052836	0.011
Rana_catesbeiana	0.0004625	0.5199
Rana_clamitans	0.00003915044	0.00362
Rana_pipiens	0.0000203574	0.0011
Rana_sylvatica	0.00000856772	0.00037
Rangifer_tarandus	0.306	128.47
Raphicerus_campestris	NA	9.55
Rattus_norvegicus	0.00875	0.465
Rattus_sp.	0.001537	0.179
Recurvirostra_novaehollandiae	0.002072	0.33
Requena_verticalis	NA	0.000371
Reticlitermes_flavipes	NA	0.00000414
Rhescyntis_hippodamia	NA	0.001142
Rhinolophus_hipposideros	0.000235	0.00715
Rhinomyias_gularis	NA	0.02558
Rhinonicteris_aurantia	NA	0.00827
Rhinophrynus_dorsalis	0.00003292408	0.01657
Rhipidura_albicollis	NA	0.01218
Rhipidura_albiscapa	0.00035224	0.0078
Rhipidura_fuliginosa	NA	0.0089
Rhipidura_leucophrys	0.00060088	0.0207
Rhipidura_rufifrons	0.00037296	0.0097
Rhipidura_rufiventris	0.0005698	0.014
Rhodnius_prolixus	NA	0.00002
Rhynchocyon_petersi	0.0054	0.37
Rhynchocyon_stuhlmanni	0.0061	0.49
Rhyncholestes_raphanurus	0.0006734	0.02
Rhynchomeles_prattorum	0.0050764	0.907
Rhynchonycteris_naso	0.00011	0.0043
Rhytinota_praelonga	NA	0.000105
Rostratula_australis	0.00147112	0.1255
Rothschildea_orizaba	NA	0.001199
Rousettus_aegyptiacus	0.0026	0.13
Rubrisciurus_rubriventer	0.0069	0.365
Rusa_timorensis	0.1976	NA
Saccopteryx_bilineata	0.00022	0.008
Saguinus_geoffroyi	0.01427	0.63467
Saguinus_oedipus	0.0097	0.37
Saimiri_boliviensis	0.02406	0.75
Saimiri_oerstedii	0.0253	0.907
Saimiri_sciureus	0.025	0.72
Sapajus_libidinosus	0.0965	2.645
Saprinus_sp.	NA	0.00000821
Sarcophilus_harrisii	0.01666924	7.43
Sarinda_hentzi	NA	0.0000046
Sauromalus_hispidus	NA	0.574
Sayornis_phoebe	0.000793	0.0181
Scalopus_aquaticus	0.00116	0.048
Scarabaeus_bacchus	NA	0.007285
Scarabaeus_flavicornis	NA	0.000322
Scarabaeus_rusticus	NA	0.000564
Sceloporus_occidentalis	NA	0.0152
Sceloporus_olivaceus	0.0000715876	NA
Scenopoeetes_dentirostris	0.003626	0.1655
Schistocerca_gregaria	0.0000007214637696	NA
Schizocosa_pacifica	NA	0.0005121
Scincella_lateralis	0.0000096348	NA
Scincus_scincus	0.000116	NA
Sciurus_aberti	0.00625	NA
Sciurus_niger	0.0072	0.328
Scolopendra_michelbacheri	NA	0.0001199
Scopus_umbretta	0.00393	0.3175
Scotophilus_gigas	0.001046	0.101
Scythrops_novaehollandiae	0.0055426	0.7475
Semnopithecus_entellus	0.1115	7.01
Sericomyrmex_sp.	0.000000053	0.0000013205
Sericornis_citreogularis	0.00081844	0.0169
Sericornis_frontalis	0.00078736	0.0132
Sericornis_magnirostra	0.0006216	0.01
Sericornis_magnirostris	NA	0.0087
Sericulus_chrysocephalus	0.00346024	0.104
Serinus_albogularis	NA	0.0305
Serinus_canaria	0.000848	0.0171
Serinus_flaviventris	NA	0.01605
Setifer_setosus	0.00151	0.248
Setonix_brachyurus	0.0144004	1.931
Setophaga_coronata	NA	0.01267
Sialia_mexicana	NA	0.02368
Sialia_sialis	0.001392	0.034
Sisyphus_fasciculatus	NA	0.000136
Sitta_canadensis	NA	0.01038
Sitta_carolinensis	NA	0.01767
Slaterocoris_sp.	NA	0.00000086
Smicronyx_imbricata	NA	0.00000032
Smicrornis_brevirostris	0.00030044	0.0059
Sminthopsis_bindi	0.0003626	0.0136
Sminthopsis_crassicaudata	0.00037296	0.0133
Sminthopsis_douglasi	0.0003626	0.0171
Sminthopsis_griseoventer	0.00050764	0.0198
Sminthopsis_hirtipes	0.00042476	0.009
Sminthopsis_leucopus	0.00042476	0.0124
Sminthopsis_macroura	0.0004144	0.017
Sminthopsis_murina	0.00045584	0.0159
Sminthopsis_virginiae	0.00035224	0.0105
Solenodon_paradoxus	0.00467	0.9
Solenopsis_invicta	NA	0.00000296
Solenopsis_sp.1	0.00000001	0.0000000985
Solenopsis_sp.2	0.000000031	0.000000473
Sorex_araneus	0.0002	0.0103
Sorex_minutus	0.0001	0.0053
Spalacopus_cyanus	NA	0.185
Spalax_ehrenbergi	NA	0.128
Spermophilus_tridecemlineatus	0.002	NA
Sphaeriontis_dilatata	NA	0.000046
Sphaerodactylus_cinereus	NA	0.00054
Sphaerodactylus_notatus	NA	0.00033
Sphecotheres_vieilloti	0.00232064	0.1226
Spheniscus_humboldti	NA	3.87
Sphenoeacus_afer	NA	0.02805
Sphiggurus_vestitus	0.01171	0.736
Sphingicampa_quadrilineata	NA	0.000818
Spilocuscus_kraemeri	0.011914	1.547
Spilocuscus_maculatus	0.0138824	3.127
Spilocuscus_rufoniger	0.0174048	6.181
Spilogale_arizonae	0.006	NA
Spilogale_gracilis	0.00681	0.42
Spilogale_putorius	0.00733	0.341
Spizella_arborea	NA	0.0166
Stachyris_nigriceps	NA	0.01567
Stagonopleura_bella	0.00066304	0.014
Steatoda_medialis	NA	0.0000243
Stenodontes_molaria	NA	0.004089
Stenodontes_sp.	NA	0.003814
Stercorarius_longicaudus	0.00306656	0.295
Stercorarius_maccormicki	NA	1.13
Stercorarius_parasiticus	0.00403004	0.465
Stercorarius_pomarinus	0.00496244	0.7
Sterna_dougallii	0.00158508	0.095
Sterna_hirundo	0.00194768	0.12
Sterna_sumatrana	0.00135716	0.09
Sterna_vittata	0.00208236	0.15
Sternula_albifrons	0.00106708	0.0475
Stictonetta_naevosa	0.00456876	0.91
Stiltia_isabella	0.0010878	0.0545
Stipiturus_malachurus	0.0004144	0.0076
Strategus_aloeus	NA	0.00632
Strepera_fuliginosa	0.0059052	0.3604
Strepera_graculina	0.00553224	0.3067
Strepera_versicolor	0.00618492	0.3845
Strigocuscus_pelengensis	0.00644392	0.991
Struthidea_cinerea	0.00308728	0.135
Struthio_camelus	0.04211	123
Sturnira_lilium	0.00052	0.0171
Sturnus_vulgaris	0.0018701	0.05835
Sugomel_niger	0.00038332	0.0095
Sula_leucogaster	0.00936544	2.05
Suncus_murinus	0.00038	0.0355
Sus_scrofa	0.1698	NA
Sylvia_subcaerulea	NA	0.0132
Sylvietta_rufescens	NA	0.01157
Sylvilagus_audubonii	0.00725	NA
Sylvilagus_gabbi	0.0045	0.439
Sylvisorex_lunaris	0.00034	0.0185
Sylvisorex_megalura	0.00015	0.0053
Syma_torotoro	0.00114996	0.0395
Symposiarchus_trivirgatus	0.00065268	0.0131
Syncerus_caffer	0.653	759
Synoeca_septentrionalis	0.000000733488	NA
Syspira_eclectica	NA	0.0000576
Syssphinx_molina	NA	0.002205
Tachybaptus_novaehollandiae	0.00171976	0.165
Tachyglossus_aculeatus	NA	3.43
Tachyglossus_setosus	NA	3.58
Tadarida_albiventer	0.00022	0.0115
Tadorna_ferruginea	0.00586376	NA
Tadorna_radjah	0.00536648	0.885
Tadorna_tadorna	0.00506604	NA
Tadorna_tadornoides	0.00615384	1.45
Tadorna_variegate	0.00573944	NA
Taeinotes_scalaris	NA	0.000397
Taeniopygia_bichenovii	0.0004144	0.009
Taeniopygia_guttata	0.00045584	0.012
Talpa_europaea	0.0015	0.077
Tamandua_mexicana	NA	4.21
Tamandua_tetradactyla	0.0275	4.361
Tamanduas_tetradactyla	0.025	3.692
Tamias_striatus	0.00222	0.0874
Tamiasciurus_hudsonicus	0.00502	0.248
Tanaocerus_koebeli	NA	0.0001025
Tanysiptera_sylvia	0.00118104	0.047
Tapinoma_melanocephalum	0.000000011	0.000000132
Tarentola_mauritanica	0.00007	NA
Tarsipes_rostratus	0.00037296	0.009
Tarsius_bancanus	0.0027	0.0776
Tarsius_spectrum	0.00465	0.17
Tatera_afra	NA	0.1483
Taxidea_taxus	0.056	6
Teleogryllus_commodus	NA	0.00095
Telophorus_zeylonus	NA	0.06765
Tenrec_ecaudatus	0.00257	0.832
Terrapene_ornata	NA	0.354
Testudo_gracea	0.000318	NA
Testudo_graeca	0.0003	0.32
Testudo_hermanni	0.000476	NA
Tetramorium_caespitum	NA	0.00000023
Tetranychus_cinnabarinus	NA	0.00000000494
Thalassarche_cauta	0.02003624	4.025
Thalassarche_chrysostoma	0.0198394	3.753
Thalasseus_bergii	0.00348096	0.31
Thamnophilus_punctatus	NA	0.021
Thamnophis_butleri	NA	0.01904
Thamnophis_sirtalis	0.000123	0.057
Thinornis_rubricollis	0.00117068	0.1008
Thomomys_sp.	0.00133	NA
Threskiornis_molucca	0.0102564	1.825
Threskiornis_spinicollis	0.00871276	1.36
Thylacinus_cynocephalus	0.05303284	28.496
Thylamys_elegans	0.00073556	0.025
Thylamys_pallidior	0.00074592	0.0207
Thylogale_billardieri	0.0228956	3.618
Thylogale_browni	0.0189588	3.742
Thylogale_brunii	0.01813	5
Thylogale_stigmatica	0.0184408	4.416
Thylogale_thetis	0.0198912	3.694
Tiliqua_rugosa	NA	0.548
Titaea_tamerlan	NA	0.00107
Todiramphus_chloris	0.00138824	0.067
Todiramphus_macleayii	0.00110852	0.038
Todiramphus_pyrrhopygius	0.00117068	0.0555
Todiramphus_sanctus	0.00106708	0.0515
Tolypeutes_matacus	0.00886	1.2
Trachemys_scripta	0.000738	0.305
Trachymyrmex_coniktzi	0.00000006	0.0000012355
Trachymyrmex_sp.1	0.00000005	0.0000011825
Trachymyrmex_sp.2	0.00000007	0.000002261
Trachymyrmex_zeteki	0.000000064	0.0000021265
Trachypithecus_francoisi	0.0944	9.1
Trachysomus_peregrinus	NA	0.000547
Tragelaphus_eurycerus	0.389	253
Tragelaphus_sylvaticus	0.19	53.07
Tragulus_javanicus	NA	1.613
Tramea_carolina	NA	0.000383
Tregellasia_capito	0.00079772	0.0136
Tregellasia_leucops	0.00061124	0.0148
Triaenogenius_sculpturatus	NA	0.00017
Tribonyx_ventralis	0.00286972	0.39
Trichastoma_pyrrogenys	NA	0.01897
Trichodere_cockerelli	0.0006734	0.015
Trichoglossus_chlorolepidotus	0.0031598	0.0869
Trichoglossus_haematodus	0.00379176	0.125
Trichomys_apereoides	NA	0.323
Trichoniscus_pusillus	NA	0.0000021
Trichosurus_caninus	0.0122248	2.515
Trichosurus_fuliginosus	0.012432	3.492
Trichosurus_vulpecula	0.0114	1.902
Trichys_fasciculata	0.01305	1.56
Trimerotropis_sp.	NA	0.0002203
Tringa_brevipes	0.00140896	0.125
Tringa_glareola	0.00105672	0.055
Tringa_incana	0.00133644	0.11
Tringa_nebularia	0.0020202	0.1735
Tringa_ochropus	NA	0.09
Tringa_stagnatilis	0.0020202	0.0703
Triorophus_laevis	NA	0.00000846
Trochilus_scitulus	NA	0.004
Trogloderus_costatus	NA	0.00002987
Trogonophis_wiegmanni	0.000021	0.00497
Tupaia_glis	0.00315	0.15
Tupaia_javanica	0.00255	0.105
Tupinambis_teguinix	0.001563	NA
Turdus_merula	NA	0.0851
Turdus_migratorius	0.00209	0.07311
Turnix_melanogaster	0.00109816	0.0825
Turnix_pyrrhothorax	0.00059052	0.0515
Turnix_varius	0.00107744	0.08
Turnix_velox	0.00069412	0.046
Tympanoctomys_barrerae	NA	0.091
Tyto_javanica	0.00674436	0.36
Tyto_longimembris	0.00541828	0.3715
Tyto_novaehollandiae	0.00877492	0.593
Tyto_tenebricosa	0.0131572	0.585
Upupa_epops	NA	0.067
Urocissa_caerulea	0.0046	0.215
Urocissa_erythrorhyncha	0.0038	NA
Urocyon_cinereoargenteus	0.03728	3.749
Uroderma_bilobatum	0.00053	0.0164
Urogale_everetti	0.00428	0.275
Uromastyx_acanthinurus	0.000335	NA
Uromastyx_microlepis	NA	0.47596
Urosphena_whiteheadi	NA	0.0104
Urosticte_benjamini	NA	0.0039
Ursus_arctos	0.33597	142.88
Ursus_maritimus	0.507	317
Vampyrops_helleri	0.00042	0.0116
Vanellus_miles	0.0029526	0.3598
Vanellus_tricolor	0.00247604	0.1842
Varanus_albigularis	NA	0.963
Varanus_giganteus	NA	2.496
Varanus_gilleni	NA	0.0275
Varanus_gouldii	NA	1.086
Varanus_griseus	0.000722	NA
Varanus_mertensi	NA	0.904
Varanus_panoptes	NA	2.003
Varanus_rosenbergi	NA	1.287
Vespertilio_murinus	0.000445	0.0333
Vespertilio_serotinus	0.00031	0.0234
Vieta_bulbifera	NA	0.000479
Vieta_muscosa	NA	0.00014
Vipera_aspis	0.0001015	NA
Vipera_berus	0.000105	NA
Viverra_tangalunga	0.02725	10
Vombatus_ursinus	0.061124	27.192
Vormela_peregusna	0.00653	0.45
Vulpes_fulva	0.0533	4.625
Vulpes_lagopus	0.0445	3.6
Vulpes_vulpes	0.054	4.235
Vulpes_zerda	NA	1.2
Wallabia_bicolor	0.0340844	16.4
Wasmannia_aurpunctata	0.000000007	0.000000109
Wyulda_squamicaudata	0.0104636	1.5
Xanthotis_flaviventer	0.0010878	0.035
Xanthotis_macleayana	0.00094276	0.032
Xenambyx_laticauda	NA	0.001217
Xenopus_laevis	0.00005137524	0.03237
Xenus_cinereus	0.00106708	0.075
Xiphorhynchus_guttatus	NA	0.0452
Xylophanes_chiron	NA	0.000948
Xylophanes_libya	NA	0.000559
Xylophanes_pluto	NA	0.000876
Yuhina_everetti	NA	0.01381
Zaedyus_pichiy	0.00798	1.74
