species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_to_study
Tigriopus_californicus	6832	15577	15577	890	890	888	676
Tribolium_castaneum	7070	22610	22610	961	961	955	715
Trichobilharzia_regenti	157069	20958	20958	807	807	794	616
Trichobilharzia_szidati	157070	20268	20268	648	648	645	489
Trichonephila_clavata	2740835	70432	70432	858	858	849	640
Trichonephila_clavipes	2585209	22738	22738	610	610	610	460
Trichonephila_inaurata	2747482	51814	51814	856	856	853	649
Trichoplax_adhaerens	10228	11520	11520	910	910	910	682
Trinorchestia_longiramus	1923959	26080	26080	903	903	900	673
Tropilaelaps_mercedesae	418985	14342	14342	892	892	892	677
Uloborus_diversus	327109	18993	18993	823	823	794	603
Ursus_arctos	9644	51919	52138	953	953	951	724
Varroa_destructor	109461	30221	30221	927	927	927	704
Varroa_jacobsoni	62625	26214	26214	933	933	931	709
