species	db	value	unity	value_used	category	id
Pimephales_promelas	ADW	482	kg	482	weight	Pimephales_promelas;ADW;weight
Camelus_bactrianus	AnAge	475000	g	475	weight	Camelus_bactrianus;AnAge;weight
Ursus_maritimus	AnAge	475000	g	475	weight	Ursus_maritimus;AnAge;weight
Camelus_dromedarius	AnAge	434000	g	434	weight	Camelus_dromedarius;AnAge;weight
Panthera_leo	EOL	433200	g	433.2	weight	Panthera_leo;EOL;weight
Leptonychotes_weddellii	AnAge	425000	g	425	weight	Leptonychotes_weddellii;AnAge;weight
Panthera_tigris	ADW	423	kg	423	weight	Panthera_tigris;ADW;weight
Dermochelys_coriacea	AnAge	420000	g	420	weight	Dermochelys_coriacea;AnAge;weight
Eumetopias_jubatus	AnAge	415000	g	415	weight	Eumetopias_jubatus;AnAge;weight
Ursus_americanus	ADW	409	kg	409	weight	Ursus_americanus;ADW;weight
Budorcas_taxicolor	ADW	400	kg	400	weight	Budorcas_taxicolor;ADW;weight
Epinephelus_lanceolatus	fishbase	400	kg	400	weight	Epinephelus_lanceolatus;fishbase;weight
Zalophus_californianus	ADW	390	kg	390	weight	Zalophus_californianus;ADW;weight
Hippoglossus_stenolepis	fishbase	363	kg	363	weight	Hippoglossus_stenolepis;fishbase;weight
Alligator_mississippiensis	ADW	360	kg	360	weight	Alligator_mississippiensis;ADW;weight
Pangasianodon_gigas	EOL	350	kg	350	weight	Pangasianodon_gigas;EOL;weight
Pangasianodon_gigas	fishbase	350	kg	350	weight	Pangasianodon_gigas;fishbase;weight
Pristis_pectinata	EOL	350	kg	350	weight	Pristis_pectinata;EOL;weight
Pristis_pectinata	fishbase	350	kg	350	weight	Pristis_pectinata;fishbase;weight
Trichechus_manatus	AnAge	322000	g	322	weight	Trichechus_manatus;AnAge;weight
Equus_asinus	ADW	320	kg	320	weight	Equus_asinus;ADW;weight
Hippoglossus_hippoglossus	fishbase	320	kg	320	weight	Hippoglossus_hippoglossus;fishbase;weight
Rangifer_tarandus	ADW	318	kg	318	weight	Rangifer_tarandus;ADW;weight
Pristis_pectinata	ADW	315	kg	315	weight	Pristis_pectinata;ADW;weight
Equus_caballus	AnAge	300000	g	300	weight	Equus_caballus;AnAge;weight
Equus_quagga	ADW	300	kg	300	weight	Equus_quagga;ADW;weight
Equus_quagga	AnAge	280000	g	280	weight	Equus_quagga;AnAge;weight
Ursus_arctos	AnAge	277500	g	277.5	weight	Ursus_arctos;AnAge;weight
Callorhinus_ursinus	ADW	275	kg	275	weight	Callorhinus_ursinus;ADW;weight
Cervus_canadensis	EOL	275	kg	275	weight	Cervus_canadensis;EOL;weight
Gorilla_gorilla	ADW	275	kg	275	weight	Gorilla_gorilla;ADW;weight
Panthera_leo	ADW	272	kg	272	weight	Panthera_leo;ADW;weight
Sus_scrofa	ADW	272	kg	272	weight	Sus_scrofa;ADW;weight
Halichoerus_grypus	AnAge	268000	g	268	weight	Halichoerus_grypus;AnAge;weight
Thunnus_maccoyii	fishbase	260	kg	260	weight	Thunnus_maccoyii;fishbase;weight
Halichoerus_grypus	ADW	220	kg	220	weight	Halichoerus_grypus;ADW;weight
Cervus_elaphus	AnAge	200000	g	200	weight	Cervus_elaphus;AnAge;weight
Chelonia_mydas	ADW	200	kg	200	weight	Chelonia_mydas;ADW;weight
Crocodylus_porosus	AnAge	200000	g	200	weight	Crocodylus_porosus;AnAge;weight
Lagenorhynchus_obliquidens	ADW	200	kg	200	weight	Lagenorhynchus_obliquidens;ADW;weight
Oryx_dammah	ADW	200	kg	200	weight	Oryx_dammah;ADW;weight
Ovis_aries	ADW	200	kg	200	weight	Ovis_aries;ADW;weight
Thunnus_albacares	fishbase	200	kg	200	weight	Thunnus_albacares;fishbase;weight
Tursiops_truncatus	AnAge	200000	g	200	weight	Tursiops_truncatus;AnAge;weight
Hippoglossus_stenolepis	AnAge	199650	g	199.65	weight	Hippoglossus_stenolepis;AnAge;weight
Hippoglossus_stenolepis	EOL	199650	g	199.65	weight	Hippoglossus_stenolepis;EOL;weight
Cheilinus_undulatus	fishbase	191	kg	191	weight	Cheilinus_undulatus;fishbase;weight
Ovis_ammon	ADW	185	kg	185	weight	Ovis_ammon;ADW;weight
Gavialis_gangeticus	ADW	181	kg	181	weight	Gavialis_gangeticus;ADW;weight
Budorcas_taxicolor	AnAge	180000	g	180	weight	Budorcas_taxicolor;AnAge;weight
Zalophus_californianus	AnAge	180000	g	180	weight	Zalophus_californianus;AnAge;weight
Oryx_dammah	AnAge	177500	g	177.5	weight	Oryx_dammah;AnAge;weight
Hippoglossus_hippoglossus	AnAge	176000	g	176	weight	Hippoglossus_hippoglossus;AnAge;weight
Hippoglossus_hippoglossus	EOL	176000	g	176	weight	Hippoglossus_hippoglossus;EOL;weight
Panthera_leo	AnAge	175000	g	175	weight	Panthera_leo;AnAge;weight
Phoca_vitulina	ADW	170	kg	170	weight	Phoca_vitulina;ADW;weight
Lipotes_vexillifer	ADW	167	kg	167	weight	Lipotes_vexillifer;ADW;weight
Callorhinus_ursinus	AnAge	165500	g	165.5	weight	Callorhinus_ursinus;AnAge;weight
Varanus_komodoensis	ADW	165	kg	165	weight	Varanus_komodoensis;ADW;weight
Equus_asinus	AnAge	164998	g	164.998	weight	Equus_asinus;AnAge;weight
Megalops_atlanticus	ADW	161	kg	161	weight	Megalops_atlanticus;ADW;weight
Megalops_atlanticus	fishbase	161	kg	161	weight	Megalops_atlanticus;fishbase;weight
Chelonia_mydas	AnAge	160000	g	160	weight	Chelonia_mydas;AnAge;weight
Ovis_ammon	AnAge	160000	g	160	weight	Ovis_ammon;AnAge;weight
Caretta_caretta	AnAge	156500	g	156.5	weight	Caretta_caretta;AnAge;weight
Ursus_americanus	AnAge	154250	g	154.25	weight	Ursus_americanus;AnAge;weight
Gavialis_gangeticus	AnAge	153000	g	153	weight	Gavialis_gangeticus;AnAge;weight
Alligator_mississippiensis	AnAge	150000	g	150	weight	Alligator_mississippiensis;AnAge;weight
Phacochoerus_africanus	ADW	150	kg	150	weight	Phacochoerus_africanus;ADW;weight
Thunnus_maccoyii	AnAge	143000	g	143	weight	Thunnus_maccoyii;AnAge;weight
Thunnus_maccoyii	EOL	143000	g	143	weight	Thunnus_maccoyii;EOL;weight
Gorilla_gorilla	AnAge	139842	g	139.842	weight	Gorilla_gorilla;AnAge;weight
Atractosteus_spatula	ADW	137	kg	137	weight	Atractosteus_spatula;ADW;weight
Atractosteus_spatula	fishbase	137	kg	137	weight	Atractosteus_spatula;fishbase;weight
Odocoileus_virginianus	ADW	137	kg	137	weight	Odocoileus_virginianus;ADW;weight
Struthio_camelus	ADW	130	kg	130	weight	Struthio_camelus;ADW;weight
Sus_scrofa	AnAge	130000	g	130	weight	Sus_scrofa;AnAge;weight
Ailuropoda_melanoleuca	ADW	125	kg	125	weight	Ailuropoda_melanoleuca;ADW;weight
Gorilla_gorilla	EOL	121.6	kg	121.6	weight	Gorilla_gorilla;EOL;weight
Puma_concolor	ADW	120	kg	120	weight	Puma_concolor;ADW;weight
Panthera_tigris	AnAge	119700	g	119.7	weight	Panthera_tigris;AnAge;weight
Ailuropoda_melanoleuca	AnAge	117500	g	117.5	weight	Ailuropoda_melanoleuca;AnAge;weight
Phoca_vitulina	AnAge	115000	g	115	weight	Phoca_vitulina;AnAge;weight
Capra_hircus	ADW	113	kg	113	weight	Capra_hircus;ADW;weight
Struthio_camelus	AnAge	111000	g	111	weight	Struthio_camelus;AnAge;weight
Lagenorhynchus_obliquidens	AnAge	103000	g	103	weight	Lagenorhynchus_obliquidens;AnAge;weight
Rangifer_tarandus	AnAge	101250	g	101.25	weight	Rangifer_tarandus;AnAge;weight
Gopherus_flavomarginatus	ADW	100	kg	100	weight	Gopherus_flavomarginatus;ADW;weight
Phacochoerus_africanus	AnAge	100000	g	100	weight	Phacochoerus_africanus;AnAge;weight
Seriola_aureovittata	fishbase	96.8	kg	96.8	weight	Seriola_aureovittata;fishbase;weight
Seriola_lalandi	fishbase	96.8	kg	96.8	weight	Seriola_lalandi;fishbase;weight
Gadus_morhua	ADW	96	kg	96	weight	Gadus_morhua;ADW;weight
Gadus_morhua	fishbase	96	kg	96	weight	Gadus_morhua;fishbase;weight
Latimeria_chalumnae	fishbase	95	kg	95	weight	Latimeria_chalumnae;fishbase;weight
Polyodon_spathula	fishbase	90.7	kg	90.7	weight	Polyodon_spathula;fishbase;weight
Pongo_abelii	ADW	90	kg	90	weight	Pongo_abelii;ADW;weight
Chelonoidis_abingdonii	EOL	88605.92	g	88.60592	weight	Chelonoidis_abingdonii;EOL;weight
Megalops_atlanticus	AnAge	88550	g	88.55	weight	Megalops_atlanticus;AnAge;weight
Odocoileus_virginianus	AnAge	87000	g	87	weight	Odocoileus_virginianus;AnAge;weight
Phoca_vitulina	EOL	87	kg	87	weight	Phoca_vitulina;EOL;weight
Pongo_pygmaeus	ADW	87	kg	87	weight	Pongo_pygmaeus;ADW;weight
Varanus_komodoensis	AnAge	87000	g	87	weight	Varanus_komodoensis;AnAge;weight
Hemibagrus_wyckioides	EOL	86	kg	86	weight	Hemibagrus_wyckioides;EOL;weight
Hemibagrus_wyckioides	fishbase	86	kg	86	weight	Hemibagrus_wyckioides;fishbase;weight
Lipotes_vexillifer	AnAge	83500	g	83.5	weight	Lipotes_vexillifer;AnAge;weight
Latimeria_chalumnae	ADW	82.1	kg	82.1	weight	Latimeria_chalumnae;ADW;weight
Orycteropus_afer	ADW	82	kg	82	weight	Orycteropus_afer;ADW;weight
Seriola_dumerili	fishbase	80.6	kg	80.6	weight	Seriola_dumerili;fishbase;weight
Canis_lupus	ADW	80	kg	80	weight	Canis_lupus;ADW;weight
Crocuta_crocuta	ADW	80	kg	80	weight	Crocuta_crocuta;ADW;weight
Dissostichus_mawsoni	fishbase	80	kg	80	weight	Dissostichus_mawsoni;fishbase;weight
Ovis_aries	AnAge	80000	g	80	weight	Ovis_aries;AnAge;weight
Acinonyx_jubatus	ADW	72	kg	72	weight	Acinonyx_jubatus;ADW;weight
Pan_troglodytes	ADW	70	kg	70	weight	Pan_troglodytes;ADW;weight
Polyodon_spathula	ADW	70	kg	70	weight	Polyodon_spathula;ADW;weight
Seriola_aureovittata	ADW	70	kg	70	weight	Seriola_aureovittata;ADW;weight
Seriola_lalandi	ADW	70	kg	70	weight	Seriola_lalandi;ADW;weight
Ictalurus_furcatus	fishbase	68	kg	68	weight	Ictalurus_furcatus;fishbase;weight
Panthera_pardus	ADW	65	kg	65	weight	Panthera_pardus;ADW;weight
Pongo_pygmaeus	AnAge	64475	g	64.475	weight	Pongo_pygmaeus;AnAge;weight
Crocuta_crocuta	AnAge	63000	g	63	weight	Crocuta_crocuta;AnAge;weight
Puma_concolor	AnAge	63000	g	63	weight	Puma_concolor;AnAge;weight
Homo_sapiens	AnAge	62035	g	62.035	weight	Homo_sapiens;AnAge;weight
Vicugna_pacos	AnAge	62000	g	62	weight	Vicugna_pacos;AnAge;weight
Oncorhynchus_tshawytscha	ADW	61.4	kg	61.4	weight	Oncorhynchus_tshawytscha;ADW;weight
Oncorhynchus_tshawytscha	fishbase	61.4	kg	61.4	weight	Oncorhynchus_tshawytscha;fishbase;weight
Capra_hircus	AnAge	61000	g	61	weight	Capra_hircus;AnAge;weight
Pan_paniscus	ADW	61	kg	61	weight	Pan_paniscus;ADW;weight
Clarias_gariepinus	fishbase	60	kg	60	weight	Clarias_gariepinus;fishbase;weight
Lates_calcarifer	fishbase	60	kg	60	weight	Lates_calcarifer;fishbase;weight
Orycteropus_afer	AnAge	60000	g	60	weight	Orycteropus_afer;AnAge;weight
Morone_saxatilis	fishbase	57	kg	57	weight	Morone_saxatilis;fishbase;weight
Lates_calcarifer	ADW	55	kg	55	weight	Lates_calcarifer;ADW;weight
Phocoena_sinus	ADW	55	kg	55	weight	Phocoena_sinus;ADW;weight
Panthera_pardus	AnAge	53750	g	53.75	weight	Panthera_pardus;AnAge;weight
Acinonyx_jubatus	AnAge	53500	g	53.5	weight	Acinonyx_jubatus;AnAge;weight
Gadus_morhua	AnAge	52800	g	52.8	weight	Gadus_morhua;AnAge;weight
Latimeria_chalumnae	AnAge	52250	g	52.25	weight	Latimeria_chalumnae;AnAge;weight
Latimeria_chalumnae	EOL	52250	g	52.25	weight	Latimeria_chalumnae;EOL;weight
Salmo_trutta	fishbase	50	kg	50	weight	Salmo_trutta;fishbase;weight
Polyodon_spathula	AnAge	49885	g	49.885	weight	Polyodon_spathula;AnAge;weight
Salmo_salar	fishbase	46.8	kg	46.8	weight	Salmo_salar;fishbase;weight
Aptenodytes_forsteri	ADW	45	kg	45	weight	Aptenodytes_forsteri;ADW;weight
Ctenopharyngodon_idella	fishbase	45	kg	45	weight	Ctenopharyngodon_idella;fishbase;weight
Enhydra_lutris	ADW	45	kg	45	weight	Enhydra_lutris;ADW;weight
Hyaena_hyaena	ADW	45	kg	45	weight	Hyaena_hyaena;ADW;weight
Ictalurus_furcatus	ADW	45	kg	45	weight	Ictalurus_furcatus;ADW;weight
Labeo_rohita	fishbase	45	kg	45	weight	Labeo_rohita;fishbase;weight
Pan_troglodytes	AnAge	44984	g	44.984	weight	Pan_troglodytes;AnAge;weight
Dissostichus_mawsoni	AnAge	44000	g	44	weight	Dissostichus_mawsoni;AnAge;weight
Dissostichus_mawsoni	EOL	44000	g	44	weight	Dissostichus_mawsoni;EOL;weight
Pangasianodon_hypophthalmus	fishbase	44	kg	44	weight	Pangasianodon_hypophthalmus;fishbase;weight
Caranx_melampygus	fishbase	43.5	kg	43.5	weight	Caranx_melampygus;fishbase;weight
Pontoporia_blainvillei	ADW	40500	g	40.5	weight	Pontoporia_blainvillei;ADW;weight
Pontoporia_blainvillei	AnAge	40500	g	40.5	weight	Pontoporia_blainvillei;AnAge;weight
Cyprinus_carpio	fishbase	40.1	kg	40.1	weight	Cyprinus_carpio;fishbase;weight
Colossoma_macropomum	EOL	40	kg	40	weight	Colossoma_macropomum;EOL;weight
Colossoma_macropomum	fishbase	40	kg	40	weight	Colossoma_macropomum;fishbase;weight
Dromaius_novaehollandiae	ADW	40	kg	40	weight	Dromaius_novaehollandiae;ADW;weight
Hyaena_hyaena	AnAge	40000	g	40	weight	Hyaena_hyaena;AnAge;weight
Pan_paniscus	AnAge	39925	g	39.925	weight	Pan_paniscus;AnAge;weight
Dromaius_novaehollandiae	AnAge	38925	g	38.925	weight	Dromaius_novaehollandiae;AnAge;weight
Ictalurus_furcatus	AnAge	37450	g	37.45	weight	Ictalurus_furcatus;AnAge;weight
Salmo_salar	ADW	35.89	kg	35.89	weight	Salmo_salar;ADW;weight
Muntiacus_muntjak	ADW	35	kg	35	weight	Muntiacus_muntjak;ADW;weight
Vombatus_ursinus	ADW	35	kg	35	weight	Vombatus_ursinus;ADW;weight
Oncorhynchus_tshawytscha	AnAge	33770	g	33.77	weight	Oncorhynchus_tshawytscha;AnAge;weight
Epinephelus_moara	fishbase	33	kg	33	weight	Epinephelus_moara;fishbase;weight
Salvelinus_namaycush	fishbase	32.7	kg	32.7	weight	Salvelinus_namaycush;fishbase;weight
Castor_canadensis	ADW	32	kg	32	weight	Castor_canadensis;ADW;weight
Anoplopoma_fimbria	AnAge	31350	g	31.35	weight	Anoplopoma_fimbria;AnAge;weight
Anoplopoma_fimbria	EOL	31350	g	31.35	weight	Anoplopoma_fimbria;EOL;weight
Morone_saxatilis	AnAge	31350	g	31.35	weight	Morone_saxatilis;AnAge;weight
Gulo_gulo	ADW	30	kg	30	weight	Gulo_gulo;ADW;weight
Silurus_asotus	fishbase	30	kg	30	weight	Silurus_asotus;fishbase;weight
Aptenodytes_forsteri	AnAge	29500	g	29.5	weight	Aptenodytes_forsteri;AnAge;weight
Esox_lucius	fishbase	28.4	kg	28.4	weight	Esox_lucius;fishbase;weight
Canis_lupus	AnAge	26625	g	26.625	weight	Canis_lupus;AnAge;weight
Ictalurus_punctatus	fishbase	26.3	kg	26.3	weight	Ictalurus_punctatus;fishbase;weight
Enhydra_lutris	AnAge	25850	g	25.85	weight	Enhydra_lutris;AnAge;weight
Salmo_salar	AnAge	25740	g	25.74	weight	Salmo_salar;AnAge;weight
Vombatus_ursinus	AnAge	25500	g	25.5	weight	Vombatus_ursinus;AnAge;weight
Oncorhynchus_mykiss	ADW	25.4	kg	25.4	weight	Oncorhynchus_mykiss;ADW;weight
Oncorhynchus_mykiss	fishbase	25.4	kg	25.4	weight	Oncorhynchus_mykiss;fishbase;weight
Mandrillus_leucophaeus	ADW	25	kg	25	weight	Mandrillus_leucophaeus;ADW;weight
Papio_anubis	ADW	25	kg	25	weight	Papio_anubis;ADW;weight
Scophthalmus_maximus	fishbase	25	kg	25	weight	Scophthalmus_maximus;fishbase;weight
Ctenopharyngodon_idella	AnAge	24750	g	24.75	weight	Ctenopharyngodon_idella;AnAge;weight
Ctenopharyngodon_idella	EOL	24750	g	24.75	weight	Ctenopharyngodon_idella;EOL;weight
Labeo_rohita	AnAge	24750	g	24.75	weight	Labeo_rohita;AnAge;weight
Labeo_rohita	EOL	24750	g	24.75	weight	Labeo_rohita;EOL;weight
Salmo_trutta	ADW	24	kg	24	weight	Salmo_trutta;ADW;weight
Plectropomus_leopardus	fishbase	23.6	kg	23.6	weight	Plectropomus_leopardus;fishbase;weight
Morone_saxatilis	ADW	23	kg	23	weight	Morone_saxatilis;ADW;weight
Oncorhynchus_tshawytscha	EOL	21110	g	21.11	weight	Oncorhynchus_tshawytscha;EOL;weight
Muntiacus_muntjak	AnAge	21000	g	21	weight	Muntiacus_muntjak;AnAge;weight
Theropithecus_gelada	ADW	21	kg	21	weight	Theropithecus_gelada;ADW;weight
Castor_canadensis	AnAge	20250	g	20.25	weight	Castor_canadensis;AnAge;weight
Cyprinus_carpio	ADW	20	kg	20	weight	Cyprinus_carpio;ADW;weight
Electrophorus_electricus	ADW	20	kg	20	weight	Electrophorus_electricus;ADW;weight
Electrophorus_electricus	fishbase	20	kg	20	weight	Electrophorus_electricus;fishbase;weight
Homarus_americanus	ADW	20	kg	20	weight	Homarus_americanus;ADW;weight
Sander_lucioperca	fishbase	20	kg	20	weight	Sander_lucioperca;fishbase;weight
Ardeotis_kori	ADW	19	kg	19	weight	Ardeotis_kori;ADW;weight
Coregonus_clupeaformis	ADW	19	kg	19	weight	Coregonus_clupeaformis;ADW;weight
Coregonus_clupeaformis	fishbase	19	kg	19	weight	Coregonus_clupeaformis;fishbase;weight
Anarrhichthys_ocellatus	EOL	18.4	kg	18.4	weight	Anarrhichthys_ocellatus;EOL;weight
Anarrhichthys_ocellatus	fishbase	18.4	kg	18.4	weight	Anarrhichthys_ocellatus;fishbase;weight
Mandrillus_leucophaeus	AnAge	18250	g	18.25	weight	Mandrillus_leucophaeus;AnAge;weight
Megalops_cyprinoides	fishbase	18	kg	18	weight	Megalops_cyprinoides;fishbase;weight
Salvelinus_namaycush	AnAge	17985	g	17.985	weight	Salvelinus_namaycush;AnAge;weight
Salvelinus_namaycush	EOL	17985	g	17.985	weight	Salvelinus_namaycush;EOL;weight
Epinephelus_fuscoguttatus	EOL	17422	g	17.422	weight	Epinephelus_fuscoguttatus;EOL;weight
Aptenodytes_patagonicus	ADW	17.3	kg	17.3	weight	Aptenodytes_patagonicus;ADW;weight
Lynx_canadensis	ADW	17.3	kg	17.3	weight	Lynx_canadensis;ADW;weight
Sparus_aurata	fishbase	17.2	kg	17.2	weight	Sparus_aurata;fishbase;weight
Rhinopithecus_bieti	ADW	17	kg	17	weight	Rhinopithecus_bieti;ADW;weight
Cheilinus_undulatus	EOL	16836	g	16.836	weight	Cheilinus_undulatus;EOL;weight
Meles_meles	ADW	16.7	kg	16.7	weight	Meles_meles;ADW;weight
Gulo_gulo	AnAge	16333	g	16.333	weight	Gulo_gulo;AnAge;weight
Theropithecus_gelada	AnAge	16200	g	16.2	weight	Theropithecus_gelada;AnAge;weight
Acipenser_ruthenus	fishbase	16	kg	16	weight	Acipenser_ruthenus;fishbase;weight
Chelydra_serpentina	ADW	16	kg	16	weight	Chelydra_serpentina;ADW;weight
Pangasius_djambal	fishbase	16	kg	16	weight	Pangasius_djambal;fishbase;weight
Oncorhynchus_keta	fishbase	15.9	kg	15.9	weight	Oncorhynchus_keta;fishbase;weight
Esox_lucius	AnAge	15620	g	15.62	weight	Esox_lucius;AnAge;weight
Oncorhynchus_kisutch	fishbase	15.2	kg	15.2	weight	Oncorhynchus_kisutch;fishbase;weight
Lynx_pardinus	ADW	15	kg	15	weight	Lynx_pardinus;ADW;weight
Lynx_rufus	ADW	15	kg	15	weight	Lynx_rufus;ADW;weight
Rhinopithecus_roxellana	AnAge	14750	g	14.75	weight	Rhinopithecus_roxellana;AnAge;weight
Rhinopithecus_roxellana	EOL	14750	g	14.75	weight	Rhinopithecus_roxellana;EOL;weight
Alligator_sinensis	AnAge	14600	g	14.6	weight	Alligator_sinensis;AnAge;weight
Macaca_nemestrina	ADW	14.5	kg	14.5	weight	Macaca_nemestrina;ADW;weight
Cygnus_olor	ADW	14300	g	14.3	weight	Cygnus_olor;ADW;weight
Cercocebus_atys	ADW	14	kg	14	weight	Cercocebus_atys;ADW;weight
Chanos_chanos	ADW	14	kg	14	weight	Chanos_chanos;ADW;weight
Chanos_chanos	fishbase	14	kg	14	weight	Chanos_chanos;fishbase;weight
Lontra_canadensis	ADW	14	kg	14	weight	Lontra_canadensis;ADW;weight
Trachypithecus_francoisi	ADW	14	kg	14	weight	Trachypithecus_francoisi;ADW;weight
Vulpes_vulpes	ADW	14	kg	14	weight	Vulpes_vulpes;ADW;weight
Scophthalmus_maximus	AnAge	13750	g	13.75	weight	Scophthalmus_maximus;AnAge;weight
Scophthalmus_maximus	EOL	13750	g	13.75	weight	Scophthalmus_maximus;EOL;weight
Ictalurus_punctatus	AnAge	13733	g	13.733	weight	Ictalurus_punctatus;AnAge;weight
Ictalurus_punctatus	ADW	13732.5	g	13.7325	weight	Ictalurus_punctatus;ADW;weight
Aptenodytes_patagonicus	AnAge	13037	g	13.037	weight	Aptenodytes_patagonicus;AnAge;weight
Meles_meles	AnAge	13000	g	13	weight	Meles_meles;AnAge;weight
Plectropomus_leopardus	AnAge	12980	g	12.98	weight	Plectropomus_leopardus;AnAge;weight
Plectropomus_leopardus	EOL	12980	g	12.98	weight	Plectropomus_leopardus;EOL;weight
Oncorhynchus_mykiss	AnAge	12235	g	12.235	weight	Oncorhynchus_mykiss;AnAge;weight
Dicentrarchus_labrax	fishbase	12	kg	12	weight	Dicentrarchus_labrax;fishbase;weight
Macaca_mulatta	ADW	12	kg	12	weight	Macaca_mulatta;ADW;weight
Moschus_berezovskii	AnAge	12000	g	12	weight	Moschus_berezovskii;AnAge;weight
Prionailurus_viverrinus	ADW	12	kg	12	weight	Prionailurus_viverrinus;ADW;weight
Sarcophilus_harrisii	ADW	12	kg	12	weight	Sarcophilus_harrisii;ADW;weight
Symphalangus_syndactylus	ADW	12	kg	12	weight	Symphalangus_syndactylus;ADW;weight
Phascolarctos_cinereus	ADW	11.8	kg	11.8	weight	Phascolarctos_cinereus;ADW;weight
Colobus_angolensis	ADW	11.7	kg	11.7	weight	Colobus_angolensis;ADW;weight
Amblyraja_radiata	fishbase	11.4	kg	11.4	weight	Amblyraja_radiata;fishbase;weight
Gymnogyps_californianus	AnAge	11175	g	11.175	weight	Gymnogyps_californianus;AnAge;weight
