#The list of species
#species: Scientific name of the species.
#NCBI.taxid: taxID from the NCBI.
#assembly_accession: Assembly accession used.
#clade: Clade corresponding to the species, it can be the class for vertebrates or the order for insects.
#nb_rnaseq: Number of RNA-seq studied.
species	NCBI.taxid	assembly_accession	clade	nb_rnaseq
Anopheles_albimanus	7167	GCF_013758885.1	Diptera	50
Anopheles_aquasalis	42839	GCF_943734665.1	Diptera	14
Anopheles_arabiensis	7173	GCF_016920715.1	Diptera	0
Anopheles_coluzzii	1518534	GCF_943734685.1	Diptera	50
Anopheles_cruzii	68878	GCF_943734635.1	Diptera	0
Anopheles_darlingi	43151	GCF_943734745.1	Diptera	0
Anopheles_funestus	62324	GCF_943734845.2	Diptera	41
Anopheles_gambiae	7165	GCF_000005575.2	Diptera	6
Anopheles_maculipalpis	1496333	GCF_943734695.1	Diptera	0
Anopheles_marshallii	1521116	GCF_943734725.1	Diptera	0
Anopheles_merus	30066	GCF_017562075.2	Diptera	0
Anopheles_moucheti	186751	GCF_943734755.1	Diptera	0
Anopheles_nili	185578	GCF_943737925.1	Diptera	0
Anopheles_sinensis	74873	GCA_000441895.2	Diptera	0
Anopheles_stephensi	30069	GCF_013141755.1	Diptera	50
Anoplophora_glabripennis	217634	GCF_000390285.2	Coleoptera	20
Anoplopoma_fimbria	229290	GCF_027596085.1	Teleostei	0
Anser_cygnoides	8845	GCF_000971095.1	Aves	50
Anseranas_semipalmata	8851	GCA_013399115.1	Aves	0
Antechinus_flavipes	38775	GCF_016432865.1	Mammalia	0
Anthonomus_grandis	7044	GCF_022605725.1	Coleoptera	0
Anthoscopus_minutus	156561	GCA_013399455.1	Aves	0
Antrostomus_carolinensis	279965	GCF_000700745.2	Aves	0
Aotus_nancymaae	37293	GCF_000952055.2	Mammalia	0
Apaloderma_vittatum	57397	GCF_000703405.1	Aves	0
Aphelenchoides_besseyi	269767	GCA_024699855.1	Nematoda	7
Aphelenchoides_bicaudatus	293665	GCA_024699845.1	Nematoda	0
Aphelenchoides_fujianensis	1052528	GCA_024699865.1	Nematoda	0
Aphelenchus_avenae	70226	GCA_020875895.1	Nematoda	15
Aphelocoma_coerulescens	39617	GCA_013398375.1	Aves	0
Aphidius_gifuensis	684658	GCF_014905175.1	Hymenoptera	0
Aphis_craccivora	307492	GCA_009835225.1	Hemiptera	0
Aphis_glycines	307491	GCA_009761285.1	Hemiptera	0
Aphis_gossypii	80765	GCF_020184175.1	Hemiptera	0
Apis_cerana	7461	GCF_001442555.1	Hymenoptera	12
Apis_dorsata	7462	GCF_000469605.1	Hymenoptera	0
Apis_florea	7463	GCF_000184785.1	Hymenoptera	4
Apis_laboriosa	183418	GCF_014066325.1	Hymenoptera	0
Apis_mellifera	7460	GCF_003254395.2	Hymenoptera	40
Apium_graveolens	4045	GCA_009905375.1	Embryophyta	15
Aplysia_californica	6500	GCF_000002075.1	Mollusca	0
Apodemus_sylvaticus	10129	GCF_947179515.1	Mammalia	0
Apolygus_lucorum	248454	GCA_009739505.2	Hemiptera	0
Apostasia_shenzhenica	1088818	GCA_002786265.1	Embryophyta	7
Apostichopus_japonicus	307972	GCA_002754855.1	Echinodermata	0
Aptenodytes_forsteri	9233	GCF_000699145.1	Aves	0
Aptenodytes_patagonicus	9234	GCA_010087175.1	Aves	0
Apteryx_mantelli	2696672	GCF_001039765.1	Aves	0
Apteryx_rowi	308060	GCF_003343035.1	Aves	16
Apus_apus	8895	GCF_020740795.1	Aves	0
Aquila_chrysaetos	8962	GCF_900496995.4	Aves	3
Arabidopsis_lyrata	59689	GCF_000004255.1	Embryophyta	50
Arabidopsis_thaliana	3702	GCF_000001735.4	Embryophyta	50
Arachis_ipaensis	130454	GCF_000816755.2	Embryophyta	35
Aramus_guarauna	54356	GCA_013400195.1	Aves	0
Araneus_ventricosus	182803	GCA_013235015.1	Arachnida	0
Archocentrus_centrarchus	63155	GCF_007364275.1	Teleostei	36
Arctia_plantaginis	874455	GCA_902825455.1	Lepidoptera	50
Ardeotis_kori	89386	GCA_013396375.1	Aves	0
Arenaria_interpres	54971	GCA_013399435.1	Aves	0
Argiope_bruennichi	94029	GCF_947563725.1	Arachnida	0
Aricia_agestis	91739	GCF_905147365.1	Lepidoptera	0
Armadillidium_nasatum	96803	GCA_009176605.1	Crustacea	0
Armadillidium_vulgare	13347	GCA_004104545.1	Crustacea	15
Artibeus_jamaicensis	9417	GCF_014825515.1	Mammalia	0
Arvicanthis_niloticus	61156	GCF_011762505.1	Mammalia	8
Arvicola_amphibius	1047088	GCF_903992535.1	Mammalia	6
Asarcornis_scutulata	75869	GCA_013398475.1	Aves	0
Asbolus_verrucosus	1661398	GCA_004193795.1	Coleoptera	0
Astatotilapia_calliptera	8154	GCF_900246225.1	Teleostei	0
Asterias_rubens	7604	GCF_902459465.1	Echinodermata	4
Astyanax_mexicanus	7994	GCF_023375975.1	Teleostei	0
Athalia_rosae	37344	GCF_000344095.2	Hymenoptera	6
Athene_cunicularia	194338	GCF_003259725.1	Aves	0
Atlantisia_rogersi	2478892	GCA_013401215.1	Aves	0
Atractosteus_spatula	7917	GCA_016984175.1	Vertebrates	0
Atrichornis_clamosus	449594	GCA_013400975.1	Aves	0
Atta_cephalotes	12957	GCF_000143395.1	Hymenoptera	2
Atta_colombica	520822	GCF_001594045.1	Hymenoptera	0
Austrofundulus_limnaeus	52670	GCF_001266775.1	Teleostei	0
Aythya_fuligula	219594	GCF_009819795.1	Aves	0
Bactrocera_dorsalis	27457	GCF_023373825.1	Diptera	50
Bactrocera_latifrons	174628	GCF_001853355.1	Diptera	9
Bactrocera_neohumeralis	98809	GCF_024586455.1	Diptera	0
Bactrocera_oleae	104688	GCF_001188975.1	Diptera	48
Bactrocera_tryoni	59916	GCF_016617805.1	Diptera	0
Bagarius_yarrelli	175774	GCA_005784505.1	Teleostei	11
Balaeniceps_rex	33584	GCA_013401315.1	Aves	0
Balaenoptera_acutorostrata	9767	GCF_000493695.1	Mammalia	8
Balaenoptera_musculus	9771	GCF_009873245.2	Mammalia	0
Balearica_regulorum	925459	GCF_000709895.1	Aves	0
Bambusicola_thoracicus	9083	GCA_002909625.1	Aves	0
Baryphthengus_martii	176943	GCA_013396935.1	Aves	0
Batillaria_attramentaria	370345	GCA_018292915.1	Mollusca	36
Belonocnema_kinseyi	2817044	GCF_010883055.1	Hymenoptera	0
Belonocnema_treatae	1159321	GCF_010883055.1	Hymenoptera	14
Bemisia_tabaci	7038	GCF_001854935.1	Hemiptera	50
Benincasa_hispida	102211	GCF_009727055.1	Embryophyta	50
Beta_vulgaris	161934	GCF_000511025.2	Embryophyta	50
Betta_splendens	158456	GCF_900634795.3	Teleostei	50
Bicyclus_anynana	110368	GCF_947172395.1	Lepidoptera	0
Biomphalaria_glabrata	6526	GCF_947242115.1	Mollusca	0
Bison_bison	9901	GCF_000754665.1	Mammalia	0
Blattella_germanica	6973	GCA_003018175.1	Blattodea	30
Blomia_tropicalis	40697	GCA_029204025.1	Arachnida	0
Boleophthalmus_pectinirostris	150288	GCF_026225935.1	Teleostei	0
Bombina_bombina	8345	GCF_027579735.1	Amphibia	0
Bombus_affinis	309941	GCF_024516045.1	Hymenoptera	0
Bombus_bifarius	103933	GCF_011952205.1	Hymenoptera	6
Bombus_huntii	85661	GCF_024542735.1	Hymenoptera	0
Bombus_impatiens	132113	GCF_000188095.3	Hymenoptera	0
Bombus_pyrosoma	396416	GCF_014825855.1	Hymenoptera	0
Bombus_terrestris	30195	GCF_000214255.1	Hymenoptera	33
Bombus_vancouverensis	2705177	GCF_011952275.1	Hymenoptera	7
Bombus_vosnesenskii	207650	GCF_011952255.1	Hymenoptera	50
Bombycilla_garrulus	125297	GCA_013400315.1	Aves	0
Bombyx_mandarina	7092	GCF_003987935.1	Lepidoptera	0
Bombyx_mori	7091	GCF_000151625.1	Lepidoptera	14
Bos_indicus	9915	GCF_000247795.1	Mammalia	22
Bos_mutus	72004	GCF_000298355.1	Mammalia	0
Bos_taurus	9913	GCF_002263795.1	Mammalia	26
Bothrops_jararaca	8724	GCA_018340635.1	Lepidosauria	39
Brachypodius_atriceps	182895	GCA_013398615.1	Aves	0
Brachypteracias_leptosomus	135165	GCA_013401335.1	Aves	0
Bradysia_coprophila	38358	GCF_014529535.1	Diptera	24
Bradysia_hygida	35572	GCA_029228625.1	Diptera	0
Branchiostoma_belcheri	7741	GCF_001625305.1	Cephalochordata	0
Branchiostoma_floridae	7739	GCF_000003815.2	Cephalochordata	50
Branchiostoma_lanceolatum	7740	GCA_927797965.1	Cephalochordata	0
Brassica_carinata	52824	GCA_016771965.1	Embryophyta	11
Brassica_cretica	69181	GCA_003260655.2	Embryophyta	16
Brassica_oleracea	3712	GCF_000695525.1	Embryophyta	50
Brassica_rapa	3711	GCF_000309985.2	Embryophyta	50
Brassicogethes_aeneus	1431903	GCA_921294245.1	Coleoptera	0
Brenthis_ino	405034	GCA_921882275.1	Lepidoptera	0
Brienomyrus_brachyistius	42636	GCF_023856365.1	Teleostei	0
Brugia_malayi	6279	GCF_000002995.4	Nematoda	50
Brugia_timori	42155	GCA_900618025.1	Nematoda	0
Bubalus_bubalis	89462	GCF_019923935.1	Mammalia	0
Bucco_capensis	135168	GCA_013396975.1	Aves	0
Buceros_rhinoceros	175835	GCF_000710305.1	Aves	0
Budorcas_taxicolor	37181	GCF_023091745.1	Mammalia	0
Bufo_bufo	8384	GCF_905171765.1	Amphibia	0
Bufo_gargarizans	30331	GCF_014858855.1	Amphibia	0
Bugula_neritina	10212	GCA_010799875.2	Invertebrates	0
Bulinus_truncatus	55810	GCA_021962125.1	Mollusca	0
Buphagus_erythrorhynchus	245048	GCA_013400855.1	Aves	0
Burhinus_bistriatus	240201	GCA_013397275.1	Aves	0
Bursaphelenchus_okinawaensis	465554	GCA_904066225.2	Nematoda	0
Bursaphelenchus_xylophilus	6326	GCA_904066235.2	Nematoda	0
Caenorhabditis_angaria	860376	GCA_947459285.1	Nematoda	0
Caenorhabditis_auriculariae	2777116	GCA_904845305.1	Nematoda	0
Caenorhabditis_bovis	2654633	GCA_902829315.1	Nematoda	0
Caenorhabditis_brenneri	135651	GCA_000143925.2	Nematoda	0
Caenorhabditis_briggsae	6238	GCF_000004555.2	Nematoda	50
Caenorhabditis_elegans	6239	GCF_000002985.6	Nematoda	50
Caenorhabditis_nigoni	1611254	GCA_002742825.1	Nematoda	40
Caenorhabditis_remanei	31234	GCF_010183535.1	Nematoda	0
Caerostris_darwini	1538125	GCA_021605075.1	Arachnida	0
Caerostris_extrusa	172846	GCA_021605095.1	Arachnida	0
Calcarius_ornatus	198940	GCA_013397715.1	Aves	0
Calidris_pugnax	198806	GCF_001431845.1	Aves	30
Caligus_rogercresseyi	217165	GCA_013387185.1	Crustacea	7
Callaeas_wilsoni	1347786	GCA_013398955.1	Aves	0
Callipepla_squamata	9009	GCA_002218305.1	Aves	0
Callithrix_jacchus	9483	GCF_009663435.1	Mammalia	14
Callorhinchus_milii	7868	GCF_000165045.1	Chondrichthyes	11
Callorhinus_ursinus	34884	GCF_003265705.1	Mammalia	0
Callosobruchus_maculatus	64391	GCA_900659725.1	Coleoptera	50
Caloenas_nicobarica	187106	GCA_013398195.1	Aves	0
Calonectris_borealis	1323832	GCA_013401115.1	Aves	0
Calypte_anna	9244	GCF_003957555.1	Aves	0
Calyptomena_viridis	135972	GCA_013390005.1	Aves	0
Camarhynchus_parvulus	87175	GCF_901933205.1	Aves	5
Camelina_sativa	90675	GCF_000633955.1	Embryophyta	50
Camelus_bactrianus	9837	GCF_000767855.1	Mammalia	0
Camelus_dromedarius	9838	GCF_000803125.2	Mammalia	0
Camelus_ferus	419612	GCF_009834535.1	Mammalia	0
Camponotus_floridanus	104421	GCF_003227725.1	Hymenoptera	37
Campylorhamphus_procurvoides	190295	GCA_013396655.1	Aves	0
Candidula_unifasciata	100452	GCA_905116865.2	Mollusca	0
Canis_lupus	9612	GCF_003254725.1	Mammalia	5
Cannabis_sativa	3483	GCF_900626175.2	Embryophyta	50
Capitella_teleta	283909	GCA_000328365.1	Annelida	0
Capra_hircus	9925	GCF_001704415.2	Mammalia	0
Capsicum_annuum	4072	GCF_000710875.1	Embryophyta	43
Capsicum_baccatum	33114	GCA_002271885.2	Embryophyta	25
Capsicum_chinense	80379	GCA_002271895.2	Embryophyta	50
Caranx_melampygus	181461	GCA_019059645.1	Teleostei	0
Carassius_auratus	7957	GCF_003368295.1	Teleostei	49
Carassius_gibelio	101364	GCF_023724105.1	Teleostei	0
Carcharodon_carcharias	13397	GCF_017639515.1	Chondrichthyes	0
Caretta_caretta	8467	GCF_023653815.1	Testudines	0
Cariama_cristata	54380	GCF_000690535.1	Aves	0
Carlito_syrichta	1868482	GCF_000164805.1	Mammalia	0
Carpinus_fangiana	176857	GCA_006937295.1	Embryophyta	6
Castor_canadensis	51338	GCF_001984765.1	Mammalia	0
Cataglyphis_hispanica	1086592	GCF_021464435.1	Hymenoptera	0
Cathartes_aura	43455	GCA_000699945.1	Aves	0
Catharus_fuscescens	159581	GCA_013398975.1	Aves	0
Catharus_ustulatus	91951	GCF_009819885.2	Aves	21
Cavia_porcellus	10141	GCF_000151735.1	Mammalia	0
Cebus_imitator	2715852	GCF_001604975.1	Mammalia	0
Centrocercus_urophasianus	9002	GCF_019232065.1	Aves	0
Centropus_bengalensis	1463675	GCA_013400815.1	Aves	0
Centropus_unirufus	1118519	GCA_013397695.1	Aves	0
Centruroides_sculpturatus	218467	GCF_000671375.1	Arachnida	8
Cephalopterus_ornatus	114276	GCA_013396775.1	Aves	0
Cephus_cinctus	211228	GCF_000341935.1	Hymenoptera	17
Cepphus_grylle	28697	GCA_013401065.1	Aves	0
Ceratina_calcarata	156304	GCF_001652005.1	Hymenoptera	0
Ceratitis_capitata	7213	GCF_000347755.3	Diptera	29
Ceratosolen_solmsi	142686	GCF_000503995.1	Hymenoptera	20
Ceratotherium_simum	9807	GCF_000283155.1	Mammalia	1
Cercocebus_atys	9531	GCF_000955945.1	Mammalia	0
Cercopithifilaria_johnstoni	2874296	GCA_916381525.1	Nematoda	0
Cercotrichas_coryphoeus	614051	GCA_013398595.1	Aves	0
Certhia_brachydactyla	73330	GCA_013400355.1	Aves	0
Certhia_familiaris	73333	GCA_013398575.1	Aves	0
Cervus_canadensis	1574408	GCF_019320065.1	Mammalia	0
Cervus_elaphus	9860	GCA_002197005.1	Mammalia	1
Cervus_hanglu	2100816	GCA_010411085.1	Mammalia	0
Cettia_cetti	68486	GCA_013401135.1	Aves	0
Ceuthmochares_aereus	1961834	GCA_013398935.1	Aves	0
Ceutorhynchus_assimilis	467358	GCA_917834065.1	Coleoptera	0
Ceyx_cyanopectus	390723	GCA_013401355.1	Aves	0
Chaenocephalus_aceratus	36190	GCA_023974075.1	Teleostei	0
Chaetops_frenatus	221966	GCA_013400775.1	Aves	0
Chaetorhynchus_papuensis	254446	GCA_013396525.1	Aves	0
Chaetura_pelagica	8897	GCF_000747805.2	Aves	0
Chanos_chanos	29144	GCF_902362185.1	Teleostei	0
Charadrius_vociferus	50402	GCF_000708025.1	Aves	0
Chauna_torquata	30388	GCA_013399475.1	Aves	0
Cheilinus_undulatus	241271	GCF_018320785.1	Teleostei	0
Chelmon_rostratus	109905	GCF_017976325.1	Teleostei	0
Chelonia_mydas	8469	GCF_015237465.2	Testudines	0
Chelonoidis_abingdonii	106734	GCF_003597395.1	Testudines	0
Chelonus_insularis	460826	GCF_013357705.1	Hymenoptera	5
Chelydra_serpentina	8475	GCA_018859375.1	Testudines	0
Cherax_quadricarinatus	27406	GCF_026875155.1	Crustacea	0
Chilo_suppressalis	168631	GCA_902850365.2	Lepidoptera	0
Chiloscyllium_plagiosum	36176	GCF_004010195.1	Chondrichthyes	0
Chiloscyllium_punctatum	137246	GCA_003427335.1	Chondrichthyes	0
Chinchilla_lanigera	34839	GCF_000276665.1	Mammalia	0
Chionis_minor	227182	GCA_013398295.1	Aves	0
Chionoecetes_opilio	41210	GCA_016584305.1	Crustacea	0
Chironomus_riparius	315576	GCA_917627325.4	Diptera	0
Chiroxiphia_lanceolata	296741	GCF_009829145.1	Aves	3
Chlamydotis_macqueenii	187382	GCF_000695195.1	Aves	0
Chloebia_gouldiae	44316	GCA_003676055.1	Aves	9
Chlorocebus_sabaeus	60711	GCF_015252025.1	Mammalia	0
Chloroceryle_aenea	176938	GCA_013399075.1	Aves	0
Chloropsis_cyanopogon	1218682	GCA_013400585.1	Aves	0
Chloropsis_hardwickii	667144	GCA_013390065.1	Aves	0
Choloepus_didactylus	27675	GCF_015220235.1	Mammalia	0
Chordeiles_acutipennis	118183	GCA_013399635.1	Aves	0
Choristoneura_fumiferana	7141	GCA_025370935.1	Lepidoptera	0
Chroicocephalus_maculipennis	287016	GCA_013397655.1	Aves	0
Chrysemys_picta	8479	GCF_000241765.5	Testudines	0
Chrysochloris_asiatica	185453	GCF_000296735.1	Mammalia	0
Chrysoperla_carnea	189513	GCF_905475395.1	Invertebrates	0
Chunga_burmeisteri	1352770	GCA_013396505.1	Aves	0
Ciccaba_nigrolineata	1118524	GCA_013396715.1	Aves	0
Cimex_lectularius	79782	GCF_000648675.2	Hemiptera	10
Cinara_cedri	506608	GCA_902439185.1	Hemiptera	0
Cinclus_mexicanus	161649	GCA_013399935.1	Aves	0
Cinnamomum_micranthum	337465	GCA_003546025.1	Embryophyta	8
Ciona_intestinalis	7719	GCF_000224145.3	Invertebrates	48
Circaetus_pectoralis	321084	GCA_013399555.1	Aves	0
Cisticola_juncidis	52622	GCA_013400215.1	Aves	0
Citrus_unshiu	55188	GCA_002897195.1	Embryophyta	23
Clarias_gariepinus	13013	GCF_024256425.1	Teleostei	0
Clarias_magur	1594786	GCA_013621035.1	Teleostei	21
Climacteris_rufus	47695	GCA_013398175.1	Aves	0
Cloeon_dipterum	197152	GCA_902829235.1	Ephemeroptera	50
Clonorchis_sinensis	79923	GCA_003604175.2	Platyhelminthes	10
Clunio_marinus	568069	GCA_900005825.1	Diptera	15
Clupea_harengus	7950	GCF_900700415.2	Teleostei	0
Cnemophilus_loriae	254448	GCA_013397755.1	Aves	0
Coccinella_septempunctata	41139	GCF_907165205.1	Coleoptera	50
Cochlearius_cochlearius	110676	GCA_013396365.1	Aves	0
Coffea_arabica	13443	GCF_003713225.1	Embryophyta	50
Coffea_eugenioides	49369	GCF_003713205.1	Embryophyta	41
Colias_croceus	72248	GCF_905220415.1	Lepidoptera	31
Colius_striatus	57412	GCF_000690715.1	Aves	0
Colletes_gigas	935657	GCF_013123115.1	Hymenoptera	0
Collichthys_lucidus	240159	GCA_004119915.2	Teleostei	0
Colobus_angolensis	54131	GCF_000951035.1	Mammalia	0
Colossoma_macropomum	42526	GCF_904425465.1	Teleostei	47
Columba_livia	8932	GCF_000337935.1	Aves	0
Columbina_picui	115618	GCA_013397635.1	Aves	0
Condylura_cristata	143302	GCF_000260355.1	Mammalia	0
Contarinia_nasturtii	265458	GCF_009176525.2	Diptera	8
Copidosoma_floridanum	29053	GCF_000648655.2	Hymenoptera	0
Copsychus_sechellarum	797021	GCA_013398635.1	Aves	0
Coptis_chinensis	261450	GCA_015680905.1	Embryophyta	23
Coptotermes_formosanus	36987	GCA_013340265.1	Blattodea	18
Corapipo_altera	415028	GCF_003945725.1	Aves	0
Corchorus_capsularis	210143	GCA_001974805.1	Embryophyta	50
Corchorus_olitorius	93759	GCA_001974825.1	Embryophyta	50
Coregonus_clupeaformis	59861	GCF_020615455.1	Teleostei	0
Corvus_brachyrhynchos	85066	GCF_000691975.1	Aves	0
Corvus_cornix	181096	GCF_000738735.5	Aves	50
Corvus_hawaiiensis	134902	GCF_020740725.1	Aves	0
Corvus_kubaryi	68294	GCF_017639235.1	Aves	0
Corvus_moneduloides	1196302	GCF_009650955.1	Aves	0
Corymbia_citriodora	34329	GCA_014858505.1	Embryophyta	5
Coryphaenoides_rupestris	163118	GCA_002895965.2	Teleostei	0
Corythaeola_cristata	103954	GCA_013396815.1	Aves	0
Corythaixoides_concolor	103956	GCA_013399495.1	Aves	0
Cotesia_congregata	51543	GCA_905319865.3	Hymenoptera	0
Cotesia_glomerata	32391	GCF_020080835.1	Hymenoptera	0
Cotesia_typhae	2053667	GCA_013202065.2	Hymenoptera	0
Cottoperca_gobio	56716	GCF_900634415.1	Teleostei	7
Coturnix_japonica	93934	GCF_001577835.2	Aves	0
Crassostrea_angulata	558553	GCF_025612915.1	Mollusca	0
Crassostrea_gigas	29159	GCF_902806645.1	Mollusca	50
Crassostrea_virginica	6565	GCF_002022765.2	Mollusca	50
Cricetulus_griseus	10029	GCF_000223135.1	Mammalia	0
Crocodylus_porosus	8502	GCF_001723895.1	Crocodylia	12
Crocuta_crocuta	9678	GCA_008692635.1	Mammalia	0
Crotalus_adamanteus	8729	GCA_018446365.1	Lepidosauria	29
Crotalus_tigris	88082	GCF_016545835.1	Lepidosauria	40
Crotophaga_sulcirostris	33598	GCA_013397455.1	Aves	0
Cryptotermes_secundus	105785	GCF_002891405.2	Blattodea	11
Crypturellus_soui	458187	GCA_013389845.1	Aves	0
Crypturellus_undulatus	48396	GCA_013389825.1	Aves	0
Ctenocephalides_felis	7515	GCF_003426905.1	Invertebrates	6
Ctenopharyngodon_idella	7959	GCF_019924925.1	Teleostei	0
Cuculus_canorus	55661	GCF_000709325.1	Aves	0
Cucumis_melo	3656	GCF_000313045.1	Embryophyta	50
Cucurbita_moschata	3662	GCF_002738365.1	Embryophyta	50
Cucurbita_pepo	3663	GCF_002806865.1	Embryophyta	50
Culex_pipiens	7175	GCF_016801865.2	Diptera	0
Culex_quinquefasciatus	7176	GCF_000209185.1	Diptera	8
Cuscuta_australis	267555	GCA_003260385.1	Embryophyta	50
Cuscuta_campestris	132261	GCA_900332095.2	Embryophyta	50
Cyanistes_caeruleus	156563	GCF_002901205.1	Aves	40
Cyclopterus_lumpus	8103	GCF_009769545.1	Teleostei	44
Cygnus_atratus	8868	GCF_013377495.2	Aves	0
Cygnus_olor	8869	GCF_009769625.2	Aves	0
Cylicostephanus_goldi	71465	GCA_900617965.1	Nematoda	0
Cynoglossus_semilaevis	244447	GCF_000523025.1	Teleostei	0
Cyphomyrmex_costatus	456900	GCF_001594065.1	Hymenoptera	0
Cyprinodon_tularosa	77115	GCF_016077235.1	Teleostei	0
Cyprinodon_variegatus	28743	GCF_000732505.1	Teleostei	0
Cyprinus_carpio	7962	GCF_018340385.1	Teleostei	31
Daktulosphaira_vitifoliae	58002	GCF_025091365.1	Hemiptera	0
Dallia_pectoralis	75939	GCA_029465975.1	Teleostei	0
Danaus_chrysippus	151541	GCA_916720795.1	Lepidoptera	0
Danaus_plexippus	13037	GCA_000235995.2	Lepidoptera	1
Danio_aesculapii	1142201	GCF_903798145.1	Teleostei	0
Danio_rerio	7955	GCF_000002035.6	Teleostei	6
Danionella_translucida	623744	GCA_007224835.1	Teleostei	3
Daphnia_galeata	27404	GCA_918697745.1	Crustacea	50
Daphnia_magna	35525	GCF_020631705.1	Crustacea	0
