#major: Number of major introns.
#minor: Number of minor introns.
#unclassified: Number of unclassified introns.
#sequencing_depth: Median per-base read coverage across BUSCO genes from eukaryota geneset.
#no_compiled_rna_seq: Number of sub-sampled RNA-seq.
#replicate: Replicates number.
#samples: SRA Accession of the RNA-seq samples studied.
major	minor	unclassified	sequencing_depth	no_compiled_rna_seq	replicate	samples
16856	8738	15748	10.0011883541295	2	5	SRR6055386,SRR6766816
27570	13892	10078	55.8395953757225	2	6	SRR6766859,SRR6766834
19571	10362	18693	17.0480530240265	2	7	SRR6055403,SRR6055360
19695	11236	13566	14.2262507026419	2	8	SRR6055384,SRR6055379
27053	16321	8263	47.0585544373285	2	9	SRR6055377,SRR6766857
26013	14035	12921	59.3163596966413	2	10	SRR6766849,SRR6055391
31759	16842	10298	196.909288824383	3	1	SRR6055409,SRR7444553,SRR6055396
32629	20731	8597	219.122588305135	3	2	SRR6766840,SRR6055418,SRR6055382
30817	18836	8402	116.73174366617	3	3	SRR6766803,SRR6766837,SRR6766808
26950	14775	13876	35.1252236135957	3	4	SRR6055416,SRR6055411,SRR6055392
27316	17672	8059	68.4736486486486	3	5	SRR6766854,SRR6055381,SRR6766845
27589	12786	13144	60.743722943723	3	6	SRR6766817,SRR6766859,SRR6055418
28369	19178	7357	71.9089893914014	3	7	SRR6766856,SRR6055364,SRR6766861
34733	29063	6976	206.64078245406	3	8	SRR6055422,SRR6766850,SRR6766813
33049	18164	9916	186.701368233194	3	9	SRR7444554,SRR6766823,SRR6055401
30720	15945	11481	71.0754226267881	3	10	SRR6766817,SRR6055405,SRR6055404
33396	20328	9110	84.0734645900675	4	1	SRR6055417,SRR6055363,SRR6055421,SRR6766832
32917	21113	9353	285.329479768787	4	2	SRR6055369,SRR6055394,SRR6766827,SRR6766811
33012	23174	5639	142.96837944664	4	3	SRR6766830,SRR6055372,SRR6766836,SRR6055359
33877	24255	9210	410.11497584541	4	4	SRR6766817,SRR6055401,SRR6766844,SRR6766827
34912	23914	6964	202.18194509074	4	5	SRR6055371,SRR6766861,SRR7444551,SRR6055420
