species	sequencing_depth	intron	annotated	annotated_unclassified	annotated_major	annotated_minor	prop_annot_unclassified	prop_annot_minor	prop_annot_major
Nelumbo_nucifera_NCBI.taxid4432	3653.27868376099	400344	135065	2093	111461	21511	0.686905152609124	0.0755161434143225	0.991257870584469
Necator_americanus_NCBI.taxid51031	258.573375666205	134812	81377	7559	72087	1731	0.589533614100764	0.0487084247847375	0.833838430574191
Nasonia_vitripennis_NCBI.taxid7425	4981.56445985098	211027	81416	2451	64663	14302	0.690033783783784	0.100987847847424	0.981914538220913
Naja_naja_NCBI.taxid35670	1908.96904776497	279531	108200	4079	99107	5014	0.49586676391928	0.0347208276492462	0.781009645694112
Myotis_myotis_NCBI.taxid51298	1760.62587741825	597176	219880	7778	159779	52323	0.73760075865339	0.123050981388195	0.989852369948642
Myotis_lucifugus_NCBI.taxid59463	3932.000331458	533621	176944	12722	133189	31033	0.732285730731595	0.0815199117368919	0.982451610999646
Myotis_brandtii_NCBI.taxid109478	680.380118780442	346518	174916	15762	134851	24303	0.734859434006247	0.129242403292881	0.98411991797237
Mya_arenaria_NCBI.taxid6604	1026.05719180722	383615	284232	35349	218537	30346	0.685988744420726	0.27590282576281	0.983970967640265
Mustela_putorius_NCBI.taxid9668	1317.10175186306	285631	172837	27540	113444	31853	0.870885115264206	0.228431892829994	0.990206518513346
Musca_domestica_NCBI.taxid7370	1298.37540983607	80366	50263	7560	35610	7093	0.846963925610576	0.20143701011019	0.982941371315005
Musa_balbisiana_NCBI.taxid52838	2295.6390771419	353929	118227	2596	107856	7775	0.573701657458563	0.0350288340241485	0.846301120492138
Musa_acuminata_NCBI.taxid4641	3777.1498047234	340689	143323	5840	110775	26708	0.858949845565524	0.1200915479975	0.99356013382006
Mus_pahari_NCBI.taxid10093	246.14527027027	251327	179838	16728	141006	22104	0.874849641755138	0.243623939160145	0.996677881760864
Mus_musculus_NCBI.taxid10090	14275.7359476064	898058	258300	9644	178227	70429	0.405141992942363	0.101562466201844	0.985774257600982
Motacilla_alba_NCBI.taxid45807	746.248175051353	282033	172321	11523	132681	28117	0.792612463887742	0.209717239373168	0.994431286725027
Morus_notabilis_NCBI.taxid981085	643.960818663173	191749	103113	5320	89406	8387	0.788031402755147	0.0884163697315988	0.991857111160417
Monodelphis_domestica_NCBI.taxid13616	12062.6056778587	871174	231630	7867	174977	48786	0.417369621730596	0.0723520879864034	0.982801521015058
Molothrus_ater_NCBI.taxid84834	821.936292615929	250110	165001	15007	132034	17960	0.875758636788049	0.179821180051463	0.992013343651623
Molossus_molossus_NCBI.taxid27622	327.700570342205	356476	180515	26047	124359	30109	0.865751512331317	0.150295509454306	0.986522077139095
Mizuhopecten_yessoensis_NCBI.taxid6573	1996.63595251555	326724	195718	9617	166385	19716	0.385250170251973	0.151600898102298	0.968994053893506
Miscanthus_lutarioriparius_NCBI.taxid422564	3707.1400956699	486535	202196	11273	182911	8012	0.675636799520527	0.0296010581306851	0.918301670816933
Mirounga_leonina_NCBI.taxid9715	8.37780734847466	96754	91458	52258	25749	13451	0.966791852441123	0.796341246817832	0.997636574970941
Mirounga_angustirostris_NCBI.taxid9716	2116.57546145494	457721	189144	7883	146809	34452	0.771632732967893	0.115222153475694	0.988612794612795
Miniopterus_natalensis_NCBI.taxid291302	1396.98517046472	283372	162924	10768	129371	22785	0.877444589308996	0.162554934079105	0.988077780832799
Microtus_ochrogaster_NCBI.taxid79684	759.283930635838	260788	173543	13645	137266	22632	0.895929087327643	0.211204121056021	0.991799192202368
Micropterus_salmoides_NCBI.taxid27706	952.465011899088	389275	260941	23722	213028	24191	0.865355853062416	0.164757403220094	0.990671242687203
