major	minor	unclassified	sequencing_depth	no_compiled_rna_seq	replicate	echantillon	selection	samples
58833	29629	17073	503.270238095238	8	2	all introns	0	SRR5656363,SRR5656370,SRR5656360,SRR5656362,SRR5656358,SRR5656367,SRR6784706,SRR5656365
63280	22178	17369	174.689310689311	9	1	all introns	0	SRR5656361,SRR5458593,SRR5656370,SRR6784707,SRR5458588,SRR6784708,SRR5656369,SRR6784711,SRR6041830
66319	27418	14897	288.547077922078	9	2	all introns	0	SRR5458592,SRR5458593,SRR5656365,SRR5656359,SRR5656370,SRR5656364,SRR6041831,SRR5656372,SRR6784711
58471	26145	17655	447.216433941998	10	1	all introns	0	SRR5656357,SRR5656370,SRR5656363,SRR5656366,SRR5656364,SRR6784708,SRR6784707,SRR5656372,SRR5458591,SRR5656358
68821	33846	13456	423.839754816112	10	2	all introns	0	SRR5656358,SRR5458589,SRR6041830,SRR5656361,SRR5656360,SRR5458593,SRR6784708,SRR5656369,SRR5458591,SRR5656372
58869	23081	17948	334.242952630049	11	1	all introns	0	SRR5458591,SRR5656372,SRR5656364,SRR5656371,SRR5656369,SRR5656365,SRR5656370,SRR6784706,SRR6784710,SRR5656358,SRR5458590
67829	31686	13907	405.405820977485	11	2	all introns	0	SRR5656364,SRR5656362,SRR5656357,SRR5656369,SRR5458592,SRR5656368,SRR6041830,SRR6784709,SRR6784706,SRR6784708,SRR5458588
61278	25002	16225	344.015693112467	12	1	all introns	0	SRR5458588,SRR6784710,SRR5656357,SRR5458593,SRR5656368,SRR5458590,SRR5656358,SRR6784708,SRR6784706,SRR5656371,SRR5656366,SRR6784709
59089	23727	17854	339.326246933769	12	2	all introns	0	SRR5656370,SRR6784708,SRR5656364,SRR6784711,SRR5458591,SRR5656371,SRR6784707,SRR5656358,SRR6784709,SRR5656361,SRR5656366,SRR5458593
69790	35941	12834	447.577427821522	13	1	all introns	0	SRR6784708,SRR5656358,SRR6784709,SRR5656367,SRR5656365,SRR5458590,SRR6041830,SRR5656372,SRR5656369,SRR5656362,SRR5656370,SRR5656361,SRR5458589
69051	34800	13092	432.751145038168	13	2	all introns	0	SRR5656366,SRR5656369,SRR6784708,SRR5656370,SRR5656371,SRR5458591,SRR5656358,SRR6784706,SRR5656359,SRR5656365,SRR6041831,SRR5458589,SRR5656362
57547	20567	18480	336.66795201371	14	1	all introns	0	SRR6784707,SRR5656371,SRR5656365,SRR5656370,SRR6784706,SRR6784708,SRR5656359,SRR5656364,SRR5458591,SRR5656369,SRR5656368,SRR6784711,SRR5458590,SRR6784710
61152	26475	16575	417.203801478353	14	2	all introns	0	SRR5458588,SRR5656360,SRR5656370,SRR5458591,SRR5656371,SRR6784711,SRR5458593,SRR5656357,SRR6784708,SRR5656366,SRR5458592,SRR5656369,SRR5656359,SRR5656361
70426	41167	12581	630.826073428749	15	1	all introns	0	SRR6041830,SRR5656357,SRR5656359,SRR5458589,SRR5656371,SRR5656366,SRR5656361,SRR5656360,SRR5656358,SRR5656372,SRR5656362,SRR5458591,SRR6784709,SRR6784707,SRR5458593
71108	38667	11830	480.151061173533	15	2	all introns	0	SRR5458588,SRR5458591,SRR5656370,SRR5656366,SRR5656367,SRR6784707,SRR5656358,SRR6041831,SRR5656365,SRR5656357,SRR5458589,SRR5458593,SRR5656361,SRR6784706,SRR5656371
69178	34938	13082	501.085610200365	16	1	all introns	0	SRR6784706,SRR5458593,SRR6041830,SRR5656362,SRR5656363,SRR6784707,SRR5656371,SRR6784709,SRR5458589,SRR5656366,SRR5656364,SRR5458591,SRR5656359,SRR5656368,SRR6784710,SRR5458592
71561	42195	11582	635.023904382469	16	2	all introns	0	SRR5458592,SRR5656362,SRR6041830,SRR5656365,SRR5458588,SRR5656357,SRR5656367,SRR5656372,SRR5656360,SRR5656370,SRR6784706,SRR5458591,SRR6784710,SRR6784711,SRR5458593,SRR5656358
69744	34291	12266	442.752955818295	17	1	all introns	0	SRR5656371,SRR5458588,SRR5656364,SRR6041831,SRR5656369,SRR5458591,SRR6784710,SRR6784708,SRR5458593,SRR5458590,SRR5656362,SRR5656361,SRR6784706,SRR6784707,SRR5656368,SRR5656366,SRR5458589
70104	35911	12547	490.36832239925	17	2	all introns	0	SRR5656365,SRR5656366,SRR6041830,SRR5656359,SRR5656360,SRR6784707,SRR5656361,SRR6784709,SRR5458588,SRR5458592,SRR5656368,SRR6784708,SRR6784706,SRR5656372,SRR5458593,SRR6784710,SRR5656369
71699	43266	11246	635.414327202323	18	1	all introns	0	SRR5656367,SRR5656371,SRR5656363,SRR5656359,SRR6784711,SRR5458589,SRR5458588,SRR5458591,SRR5458592,SRR5656369,SRR5656358,SRR5656365,SRR5656357,SRR6784709,SRR5656370,SRR6041831,SRR5656362,SRR5656366
71511	42565	11282	662.930174563591	18	2	all introns	0	SRR6784710,SRR5656372,SRR5458592,SRR5656363,SRR5656357,SRR5656359,SRR6041831,SRR6784711,SRR5656366,SRR5458593,SRR5656361,SRR5656369,SRR5656367,SRR5656365,SRR5656368,SRR6784707,SRR6784706,SRR5656360
71953	44566	11262	783.726071638285	19	1	all introns	0	SRR6784708,SRR5656364,SRR5458592,SRR5458589,SRR6041830,SRR5656358,SRR5458590,SRR5656362,SRR5656359,SRR5656367,SRR5656357,SRR5458591,SRR6784709,SRR5656369,SRR5656372,SRR5458588,SRR5656360,SRR6784706,SRR5458593
73659	47506	9836	726.908483633935	19	2	all introns	0	SRR5458593,SRR5656367,SRR5458589,SRR5656370,SRR6784706,SRR5656368,SRR5656363,SRR5656360,SRR6041830,SRR6784711,SRR5656364,SRR5656365,SRR5458592,SRR6784709,SRR6041831,SRR6784710,SRR6784707,SRR5656357,SRR5656371
73929	47873	9648	719.288852278968	20	1	all introns	0	SRR5656357,SRR5656364,SRR5458590,SRR6041830,SRR5656368,SRR6784709,SRR5656372,SRR6041831,SRR5656369,SRR5656367,SRR5458589,SRR5656363,SRR5458592,SRR6784711,SRR6784708,SRR5656366,SRR5656370,SRR5656360,SRR5458588,SRR5458593
71160	40952	11689	652.5	20	2	all introns	0	SRR5458592,SRR6784709,SRR5458589,SRR5656360,SRR5458593,SRR5656363,SRR5656357,SRR6041830,SRR6784708,SRR6784710,SRR5458588,SRR6784707,SRR5656372,SRR5656369,SRR5656371,SRR5656362,SRR5656361,SRR5656370,SRR5656366,SRR5458590
