id	species	dS	dN	dNdS	clade	clade_group	dS_added
Atta_cephalotes_0	Atta_cephalotes	0.214575841681289	0.0230390447154637	0.107370170541769	Hymenoptera	Hymenoptera	-7.09472737397794
Bactrocera_oleae_0	Bactrocera_oleae	1.46454982612294	0.126263145226307	0.0862129392760634	Diptera	Lepido Diptera	-0.417045902882845
Balaenoptera_acutorostrata_0	Balaenoptera_acutorostrata	0.0698630843452518	0.0113727894560295	0.162786821718708	Mammalia	Mammalia	-13.674962575604
Belonocnema_treatae_0	Belonocnema_treatae	3.07152284103005	0.307174622035766	0.100007272592104	Hymenoptera	Hymenoptera	1.23382326278127
Betta_splendens_0	Betta_splendens	0.935277113064755	0.118349724122328	0.126539741504541	Teleostei	Teleostei	-6.10961681367443
Blattella_germanica_0	Blattella_germanica	2.22049572145474	0.211562644135409	0.0952772131426606	Blattodea	Other Insecta	-7.62999133591468
Bombus_bifarius_0	Bombus_bifarius	0.00562820814327474	0.000731002350090493	0.129881896952227	Hymenoptera	Hymenoptera	-10.1412945644088
Bombus_terrestris_0	Bombus_terrestris	0.0968458469491479	0.0167842579951074	0.173309011422251	Hymenoptera	Hymenoptera	-2.3936182799643
Bombus_vancouverensis_0	Bombus_vancouverensis	0.00540005310261518	4.97672970629411e-08	9.21607549356123e-06	Hymenoptera	Hymenoptera	-4.22866737144666
Bombus_vosnesenskii_0	Bombus_vosnesenskii	0.0179589610273224	0.00333394294664625	0.185642306454925	Hymenoptera	Hymenoptera	-2.47227701084546
Bombyx_mori_0	Bombyx_mori	2.44997407567458	0.237466505525665	0.0969261299062035	Lepidoptera	Lepido Diptera	-1.51495556123474
Bos_taurus_0	Bos_taurus	0.10259583783241	0.0099837613903854	0.0973115635226237	Mammalia	Mammalia	-12.3281454948663
Branchiostoma_floridae_0	Branchiostoma_floridae	4.13007497367053	0.463492124189488	0.1122236586852	Cephalochordata	Other Invertebrates	2.39246824308926
Caenorhabditis_elegans_0	Caenorhabditis_elegans	1.81500036539167	0.155003038041058	0.085401105694879	Nematoda	Nematoda	-9.00147293942708
Caenorhabditis_nigoni_0	Caenorhabditis_nigoni	1.89478526969946	0.16796079760153	0.0886437108665991	Nematoda	Nematoda	-15.7964948908765
Calidris_pugnax_0	Calidris_pugnax	0.405212423921386	0.0385545415442551	0.0951464942045681	Aves	Aves	-17.3658526409623
Callithrix_jacchus_0	Callithrix_jacchus	0.228261790705698	0.0274837273886668	0.120404415052111	Mammalia	Mammalia	-2.87687112239036
Camarhynchus_parvulus_0	Camarhynchus_parvulus	0.161422749412679	0.0151286446399374	0.093720647771033	Aves	Aves	-6.6978006072514
Camponotus_floridanus_0	Camponotus_floridanus	0.632961012416891	0.0718093669366464	0.113449905330583	Hymenoptera	Hymenoptera	-1.3350848082753
Canis_lupus_0	Canis_lupus	0.0344226903000326	0.00339676041448279	0.0986779471585802	Mammalia	Mammalia	-0.598538322116859
Catharus_ustulatus_0	Catharus_ustulatus	0.180341044432288	0.0179899055257937	0.0997549148194511	Aves	Aves	-0.64659683929924
Centruroides_sculpturatus_0	Centruroides_sculpturatus	3.96269812550834	0.394184903895051	0.0994738663936164	Arachnida	Other Invertebrates	2.8336922621262
Cephus_cinctus_0	Cephus_cinctus	2.43229457772644	0.228333920883617	0.0938759322059789	Hymenoptera	Hymenoptera	-10.1478641351085
Ceratitis_capitata_0	Ceratitis_capitata	1.4247193282862	0.126025952433342	0.0884566875252121	Diptera	Lepido Diptera	-4.82831767883147
Ceratosolen_solmsi_0	Ceratosolen_solmsi	2.09445867919022	0.233129236702405	0.111307632381909	Hymenoptera	Hymenoptera	-11.6105364829223
Ceratotherium_simum_0	Ceratotherium_simum	0.208485977678381	0.022856123653719	0.109629069102085	Mammalia	Mammalia	-7.36070863028865
Cervus_elaphus_0	Cervus_elaphus	0.143327837214431	0.0541473156095776	0.377786455596678	Mammalia	Mammalia	-2.13605470207449
Chelonus_insularis_0	Chelonus_insularis	3.55944598539263	0.390005440152054	0.109569141308105	Hymenoptera	Hymenoptera	1.73782183221354
Chiroxiphia_lanceolata_0	Chiroxiphia_lanceolata	0.063165082227425	0.00858827068137465	0.135965479320564	Aves	Aves	-7.04703326478773
Chloebia_gouldiae_0	Erythrura_gouldiae	0.142861815914784	0.0195093979508016	0.136561318543219	NA	NA	-3.18896021949204
Cimex_lectularius_0	Cimex_lectularius	4.15910943740566	0.41159226702887	0.0989616342689003	Hemiptera	Other Insecta	2.17062795640629
Cloeon_dipterum_0	Cloeon_dipterum	6.0180376884894	0.643747738781382	0.106969708749526	Ephemeroptera	Other Insecta	-6.58423962439498
Clonorchis_sinensis_0	Clonorchis_sinensis	4.75086460437006	0.48174597752752	0.101401748448985	Platyhelminthes	Other Invertebrates	-7.376722242759
Colossoma_macropomum_0	Colossoma_macropomum	0.804803217486519	0.0823209808753155	0.102287092157027	Teleostei	Teleostei	-16.887514822304
Contarinia_nasturtii_0	Contarinia_nasturtii	4.8314421332394	0.495330879755696	0.102522366220205	Diptera	Lepido Diptera	-4.64290401883475
Coptotermes_formosanus_0	Coptotermes_formosanus	0.874458064530257	0.138608099679883	0.158507429117646	Blattodea	Other Insecta	-12.5436366372474
Corvus_cornix_0	Corvus_cornix	0.164666551428642	0.0157757307817633	0.0958041001338372	Aves	Aves	-9.02619122758062
Cottoperca_gobio_0	Cottoperca_gobio	0.285061026441817	0.0613063507030227	0.2150639512818	Teleostei	Teleostei	-3.09214907497431
Crocodylus_porosus_0	Crocodylus_porosus	0.189231248930223	0.0201408025898701	0.106434865825447	Crocodylia	Other Vertebrates	-1.05739197182367
Crotalus_tigris_0	Crotalus_tigris	0.281394382695455	0.0357198278476373	0.126938667024835	Lepidosauria	Other Vertebrates	-7.34930019098204
Cryptotermes_secundus_0	Cryptotermes_secundus	0.731117744375815	0.110079024615409	0.150562649398405	Blattodea	Other Insecta	-7.31929839198307
Culex_quinquefasciatus_0	Culex_quinquefasciatus	1.69075129324437	0.171556286511514	0.101467487972353	Diptera	Lepido Diptera	-7.35676616561044
Cyanistes_caeruleus_0	Cyanistes_caeruleus	0.192341343985222	0.0194914505438564	0.1013378098541	Aves	Aves	-12.294001757492
Cyclopterus_lumpus_0	Cyclopterus_lumpus	0.365023854732536	0.059933011405086	0.164189300584206	Teleostei	Teleostei	-2.42800844414695
Danaus_plexippus_0	Danaus_plexippus	2.34840198703943	0.206726856634342	0.0880287351889687	Lepidoptera	Lepido Diptera	0.904002052345408
Daphnia_galeata_0	Daphnia_galeata	6.66491279515356	0.674213902004804	0.101158698204583	Crustacea	Other Invertebrates	-5.94747313859742
Dendroctonus_ponderosae_0	Dendroctonus_ponderosae	4.51459552071907	0.437026344040561	0.0968029897772443	Coleoptera	Other Insecta	-8.94421152127411
Dermochelys_coriacea_0	Dermochelys_coriacea	0.171847626281732	0.0225217703638632	0.131056627613467	Testudines	Other Vertebrates	-12.6270635223306
Diabrotica_virgifera_0	Diabrotica_virgifera	2.88967951227931	0.269890747284243	0.0933981592551624	Coleoptera	Other Insecta	-4.40343392471391
Dictyocaulus_viviparus_0	Dictyocaulus_viviparus	2.8738454341852	0.270974245180343	0.0942897770203742	Nematoda	Nematoda	-9.11010786065949
Dinoponera_quadriceps_0	Dinoponera_quadriceps	0.88466293787392	0.0919796647313392	0.103971423231983	Hymenoptera	Hymenoptera	-16.13947358843
Drosophila_erecta_0	Drosophila_erecta	0.325974869190581	0.0337603131789294	0.103567226709098	Diptera	Lepido Diptera	-2.41348474185897
Drosophila_grimshawi_0	Drosophila_grimshawi	1.61839632101911	0.185652972102439	0.11471415851065	Diptera	Lepido Diptera	-8.44701647400315
Drosophila_guanche_0	Drosophila_guanche	0.49775732911221	0.0576351114002417	0.115789578634711	Diptera	Lepido Diptera	-12.1476080585875
Drosophila_mauritiana_0	Drosophila_mauritiana	0.0568954264945924	0.00576204341180636	0.101274281024223	Diptera	Lepido Diptera	-11.6052205450145
Drosophila_melanogaster_0	Drosophila_melanogaster	0.184841853498408	0.0191618636171166	0.103666259856465	Diptera	Lepido Diptera	-8.30339451966488
Drosophila_pseudoobscura_0	Drosophila_pseudoobscura	0.55089192872673	0.0537739948321313	0.0976126024507538	Diptera	Lepido Diptera	-8.97452626248274
Drosophila_sechellia_0	Drosophila_sechellia	0.0695029504042898	0.00802809844784047	0.115507304382649	Diptera	Lepido Diptera	-11.6457476207193
Drosophila_subpulchrella_0	Drosophila_subpulchrella	0.141600512428306	0.0118142254323223	0.0834334934932103	Diptera	Lepido Diptera	-8.35924338464468
Drosophila_suzukii_0	Drosophila_suzukii	0.188811953093822	0.0129169394640428	0.0684116617215664	Diptera	Lepido Diptera	-9.64573591847759
Dufourea_novaeangliae_0	Dufourea_novaeangliae	1.38276914591161	0.153181859681362	0.110779055299483	Hymenoptera	Hymenoptera	-8.49899016632531
Echinococcus_granulosus_0	Echinococcus_granulosus	6.70483547895476	0.662585568679274	0.0988220472760305	Platyhelminthes	Other Invertebrates	2.10188628848677
Electrophorus_electricus_0	Electrophorus_electricus	1.07353315093665	0.129226783299973	0.12037521448427	Teleostei	Teleostei	-16.8455511511409
Elysia_chlorotica_0	Elysia_chlorotica	5.56331967463699	0.543653206864768	0.097721008077833	Mollusca	Other Invertebrates	-4.17975641088729
Enhydra_lutris_0	Enhydra_lutris	0.085900664913117	0.007774868801677	0.0905099955808349	Mammalia	Mammalia	-12.5827444178959
Equus_asinus_0	Equus_asinus	0.0223199604616167	0.00288574505143718	0.129289881870524	Mammalia	Mammalia	-0.677766289874785
Equus_caballus_0	Equus_caballus	0.0217088602488227	0.00315174823934845	0.145182575373545	Mammalia	Mammalia	-1.7462748612086
Erinaceus_europaeus_0	Erinaceus_europaeus	0.873432715650616	0.089256862655214	0.102190885520846	Mammalia	Mammalia	-0.893939905594008
Eudyptes_filholi_0	Eudyptes_filholi	0.241929687365743	0.0351180927192483	0.145158261070117	Aves	Aves	-7.12753911250154
Eufriesea_mexicana_0	Eufriesea_mexicana	0.701563893749229	0.107229187754219	0.152843082019479	Hymenoptera	Hymenoptera	-1.15501084169555
Eumeta_japonica_0	Eumeta_japonica	2.96561058143015	0.296132499077467	0.0998554904449589	Lepidoptera	Lepido Diptera	-1.6818828214076
Eurytemora_affinis_0	Eurytemora_affinis	5.67103799886461	0.578224925992289	0.101961038897651	Crustacea	Other Invertebrates	-6.91596798171876
Felis_catus_0	Felis_catus	0.0267087573693007	0.00333527251025122	0.12487561529481	Mammalia	Mammalia	-14.6028767269906
Fundulus_heteroclitus_0	Fundulus_heteroclitus	0.94129534181673	0.113332434873776	0.120400505387651	Teleostei	Teleostei	0.209108736328873
Gallus_gallus_0	Gallus_gallus	0.251888251124491	0.022861405598492	0.0907601108683439	Aves	Aves	-7.23585079903638
