species	clade	NCBI.txid	clade_group	expression_data	dnds_data	lht_data	assembly_accession	nb_rnaseq
Oesophagostomum_dentatum	Nematoda	61180	Nematoda	TRUE	FALSE	TRUE	GCA_000797555.1	34
Melitaea_cinxia	Lepidoptera	113334	Lepido Diptera	TRUE	TRUE	FALSE	GCF_905220565.1	50
Clonorchis_sinensis	Platyhelminthes	79923	Other Invertebrates	TRUE	TRUE	TRUE	GCA_003604175.2	10
Acropora_millepora	Cnidaria	45264	Other Invertebrates	TRUE	TRUE	TRUE	GCF_013753865.1	50
Drosophila_mauritiana	Diptera	7226	Lepido Diptera	TRUE	TRUE	FALSE	GCF_004382145.1	50
Drosophila_sechellia	Diptera	7238	Lepido Diptera	TRUE	TRUE	FALSE	GCF_004382195.2	50
Drosophila_simulans	Diptera	7240	Lepido Diptera	TRUE	FALSE	FALSE	GCF_016746395.2	12
Drosophila_erecta	Diptera	7220	Lepido Diptera	TRUE	TRUE	FALSE	GCF_003286155.1	46
Acanthocheilonema_viteae	Nematoda	6277	Nematoda	TRUE	TRUE	FALSE	GCA_900537255.1	7
Varroa_destructor	Arachnida	109461	Other Invertebrates	FALSE	TRUE	FALSE	GCF_002443255.1	0
Loa_loa	Nematoda	7209	Nematoda	TRUE	TRUE	TRUE	GCF_000183805.2	1
Steinernema_carpocapsae	Nematoda	34508	Nematoda	FALSE	TRUE	TRUE	GCA_000757645.3	0
Penaeus_chinensis	Crustacea	139456	Other Invertebrates	TRUE	TRUE	FALSE	GCF_019202785.1	50
Lepeophtheirus_salmonis	Crustacea	72036	Other Invertebrates	TRUE	TRUE	TRUE	GCF_016086655.3	50
Ailuropoda_melanoleuca	Mammalia	9646	Mammalia	TRUE	FALSE	TRUE	GCF_002007445.2	50
Gadus_morhua	Teleostei	8049	Teleostei	TRUE	FALSE	TRUE	GCF_902167405.1	48
Tachysurus_fulvidraco	Teleostei	1234273	Teleostei	FALSE	FALSE	TRUE	GCF_022655615.1	0
Scophthalmus_maximus	Teleostei	52904	Teleostei	FALSE	FALSE	TRUE	GCF_022379125.1	0
Nothobranchius_furzeri	Teleostei	105023	Teleostei	TRUE	FALSE	TRUE	GCF_001465895.1	50
Diaphorina_citri	Hemiptera	121845	Other Insecta	TRUE	FALSE	TRUE	GCF_000475195.1	50
Bemisia_tabaci	Hemiptera	7038	Other Insecta	TRUE	FALSE	FALSE	GCF_001854935.1	50
Mamestra_configurata	Lepidoptera	174822	Lepido Diptera	FALSE	FALSE	FALSE	GCA_002192655.3	0
Sebastes_umbrosus	Teleostei	72105	Teleostei	FALSE	FALSE	TRUE	GCF_015220745.1	0
Cebus_imitator	Mammalia	2715852	Mammalia	FALSE	FALSE	FALSE	GCF_001604975.1	0
Aphidius_gifuensis	Hymenoptera	684658	Hymenoptera	FALSE	FALSE	FALSE	GCF_014905175.1	0
Bombus_pyrosoma	Hymenoptera	396416	Hymenoptera	FALSE	FALSE	FALSE	GCF_014825855.1	0
Sturnira_hondurensis	Mammalia	192404	Mammalia	FALSE	FALSE	FALSE	GCF_014824575.2	0
Oppiella_nova	Arachnida	334625	Other Invertebrates	TRUE	FALSE	FALSE	GCA_905397405.1	10
Medioppia_subpectinata	Arachnida	1979941	Other Invertebrates	TRUE	FALSE	FALSE	GCA_905368565.1	10
Lucifuga_dentata	Teleostei	670423	Teleostei	FALSE	FALSE	TRUE	GCA_014773175.1	0
Bradysia_coprophila	Diptera	38358	Lepido Diptera	TRUE	FALSE	FALSE	GCF_014529535.1	24
Bursaphelenchus_okinawaensis	Nematoda	465554	Nematoda	FALSE	FALSE	FALSE	GCA_904066225.2	0
Dimorphilus_gyrociliatus	Annelida	2664684	Other Invertebrates	TRUE	FALSE	FALSE	GCA_904063045.1	8
Acomys_russatus	Mammalia	60746	Mammalia	TRUE	FALSE	TRUE	GCF_903995435.1	36
Paragonimus_kellicotti	Platyhelminthes	100269	Other Invertebrates	TRUE	FALSE	TRUE	GCA_014220965.1	3
Trichonephila_clavata	Arachnida	2740835	Other Invertebrates	FALSE	FALSE	FALSE	GCA_019973975.1	0
Promerops_cafer	Aves	254652	Aves	FALSE	FALSE	TRUE	GCA_013398275.1	0
Steatornis_caripensis	Aves	48435	Aves	FALSE	FALSE	TRUE	GCA_013398225.1	0
Struthidea_cinerea	Aves	181839	Aves	FALSE	FALSE	TRUE	GCA_013397865.1	0
Melanocharis_versteri	Aves	254552	Aves	FALSE	FALSE	TRUE	GCA_013397845.1	0
Cnemophilus_loriae	Aves	254448	Aves	FALSE	FALSE	FALSE	GCA_013397755.1	0
Donacobius_atricapilla	Aves	237420	Aves	FALSE	FALSE	TRUE	GCA_013397315.1	0
Oceanites_oceanicus	Aves	79653	Aves	FALSE	FALSE	TRUE	GCA_013396615.1	0
Anhinga_anhinga	Aves	56067	Aves	FALSE	FALSE	TRUE	GCA_013396435.1	0
Spizella_passerina	Aves	40210	Aves	FALSE	FALSE	TRUE	GCA_013401375.1	0
Balaeniceps_rex	Aves	33584	Aves	FALSE	FALSE	TRUE	GCA_013401315.1	0
Rissa_tridactyla	Aves	75485	Aves	FALSE	FALSE	TRUE	GCA_013401015.1	0
Pardalotus_punctatus	Aves	254575	Aves	FALSE	FALSE	TRUE	GCA_013400915.1	0
Buphagus_erythrorhynchus	Aves	245048	Aves	FALSE	FALSE	FALSE	GCA_013400855.1	0
Peucedramus_taeniatus	Aves	135441	Aves	FALSE	FALSE	TRUE	GCA_013400575.1	0
Scopus_umbretta	Aves	33581	Aves	FALSE	FALSE	FALSE	GCA_013400535.1	0
Nicator_chloris	Aves	237433	Aves	FALSE	FALSE	TRUE	GCA_013400495.1	0
Certhia_brachydactyla	Aves	73330	Aves	FALSE	FALSE	TRUE	GCA_013400355.1	0
Bombycilla_garrulus	Aves	125297	Aves	FALSE	FALSE	TRUE	GCA_013400315.1	0
Sitta_europaea	Aves	50251	Aves	FALSE	FALSE	TRUE	GCA_013400255.1	0
Oriolus_oriolus	Aves	181099	Aves	FALSE	FALSE	TRUE	GCA_013400235.1	0
Aramus_guarauna	Aves	54356	Aves	FALSE	FALSE	FALSE	GCA_013400195.1	0
Phainopepla_nitens	Aves	161653	Aves	FALSE	FALSE	TRUE	GCA_013400175.1	0
Rhinoptilus_africanus	Aves	240209	Aves	FALSE	FALSE	TRUE	GCA_013400135.1	0
Rhinopomastus_cyanomelas	Aves	113115	Aves	FALSE	FALSE	TRUE	GCA_013400115.1	0
Gymnorhina_tibicen	Aves	9132	Aves	FALSE	FALSE	FALSE	GCA_013399875.1	0
Semnornis_frantzii	Aves	91796	Aves	FALSE	FALSE	TRUE	GCA_013399775.1	0
Chauna_torquata	Aves	30388	Aves	FALSE	FALSE	TRUE	GCA_013399475.1	0
Psophia_crepitans	Aves	54359	Aves	FALSE	FALSE	TRUE	GCA_013399095.1	0
Dromas_ardeola	Aves	458190	Aves	FALSE	FALSE	TRUE	GCA_013398915.1	0
Sapayoa_aenigma	Aves	239371	Aves	FALSE	FALSE	TRUE	GCA_013398745.1	0
Pedionomus_torquatus	Aves	227192	Aves	FALSE	FALSE	TRUE	GCA_013398155.1	0
Ifrita_kowaldi	Aves	461245	Aves	FALSE	FALSE	TRUE	GCA_013398055.1	0
Panurus_biarmicus	Aves	181101	Aves	FALSE	FALSE	TRUE	GCA_013398035.1	0
Daphoenositta_chrysoptera	Aves	254528	Aves	FALSE	FALSE	TRUE	GCA_013397915.1	0
Hylia_prasina	Aves	208073	Aves	FALSE	FALSE	TRUE	GCA_013397195.1	0
Platysteira_castanea	Aves	1160851	Aves	FALSE	FALSE	TRUE	GCA_013397175.1	0
Rostratula_benghalensis	Aves	118793	Aves	FALSE	FALSE	TRUE	GCA_013399305.1	0
Tichodroma_muraria	Aves	237442	Aves	FALSE	FALSE	TRUE	GCA_013390105.1	0
Picathartes_gymnocephalus	Aves	175131	Aves	FALSE	FALSE	TRUE	GCA_013390045.1	0
Todus_mexicanus	Aves	135184	Aves	FALSE	FALSE	TRUE	GCA_013389965.1	0
Fregata_magnificens	Aves	37042	Aves	FALSE	FALSE	TRUE	GCA_013389945.1	0
Aegithalos_caudatus	Aves	73327	Aves	FALSE	FALSE	TRUE	GCA_013389925.1	0
Hyalomma_asiaticum	Arachnida	266040	Other Invertebrates	FALSE	FALSE	FALSE	GCA_013339685.2	0
Pomphorhynchus_laevis	Invertebrates	141832	Other Invertebrates	FALSE	FALSE	TRUE	GCA_012934845.2	0
Batillaria_attramentaria	Mollusca	370345	Other Invertebrates	TRUE	FALSE	FALSE	GCA_018292915.1	36
