species	NCBI.taxid	dN	dS	dNdS
Vespula_vulgaris	7454	0.02331497205	0.1048476543	0.222369992019936
Vespula_pensylvanica	30213	0.006543117863	0.04913177374	0.133174875745896
Vespa_velutina	202808	0.00610203409	0.0519869647	0.117376233161772
Vespa_crabro	7445	0.007157008554	0.05603336048	0.127727633907564
Vespa_mandarinia	7446	0.007151021242	0.05494475508	0.130149296899914
Ampulex_compressa	860918	0.2261145205	2.543533395	0.0888977990005907
Colletes_gigas	935657	0.1362136482	1.215587444	0.112055820313327
Dufourea_novaeangliae	178035	0.1062747559	0.9318290872	0.114049622790097
Nomia_melanderi	2448451	0.0988476393	0.8781320471	0.112565803316757
Megalopta_genalis	115081	0.1308629934	1.214591477	0.107742393947327
Megachile_rotundata	143995	0.08426547317	0.7955935067	0.105915234928852
Osmia_lignaria	473952	0.009929200285	0.06411936686	0.154854933403814
Osmia_bicornis	1437190	0.008453805505	0.0610649774	0.138439509272626
Habropoda_laboriosa	597456	0.1187868237	0.8758845737	0.135619266815271
Ceratina_calcarata	156304	0.1806889459	2.17630552	0.0830255422501524
Eufriesea_mexicana	516756	0.1067598141	0.7627566836	0.13996575368717
Apis_florea	7463	0.01625832104	0.1327407137	0.12248179617856
Apis_cerana	7461	0.01368561737	0.1028396811	0.133077205448472
Apis_mellifera	7460	0.0158787889	0.1146409885	0.138508827494976
Apis_laboriosa	183418	0.005337267615	0.03692234999	0.144553843849201
Apis_dorsata	7462	0.007893941438	0.047386899	0.166584891701818
Frieseomelitta_varia	561572	0.02184985482	0.1398986809	0.156183422741622
Melipona_quadrifasciata	166423	0.04293308638	0.2354004831	0.182383170223834
Bombus_affinis	309941	0.003381410649	0.01787366789	0.189183925191529
Bombus_terrestris	30195	0.003104391667	0.01848613278	0.167930832475607
Bombus_pyrosoma	396416	0.01470807303	0.09598830646	0.153227758384602
Bombus_impatiens	132113	0.005425884681	0.02690953724	0.201634261957304
Bombus_huntii	85661	0.001823384179	0.01043301459	0.17477059609863
Bombus_vosnesenskii	207650	0.002241759855	0.0124773712	0.179666038548248
Bombus_bifarius	103933	0.0008092257746	0.005258516827	0.153888596580125
Bombus_vancouverensis	2705177	0.001113979757	0.0051068241	0.218135525169156
Pseudomyrmex_gracilis	219809	0.1722423786	1.486104384	0.11590193828538
Odontomachus_brunneus	486640	0.08253383685	0.7112367254	0.116042709694979
Harpegnathos_saltator	610380	0.09678690262	0.8535360474	0.113395213845774
Dinoponera_quadriceps	609295	0.09495052433	0.8115913888	0.11699301599342
Ooceraea_biroi	2015173	0.09375394878	0.8188831306	0.114490023394799
Eciton_burchellii	213866	0.1220660036	1.089541686	0.112034266488818
Linepithema_humile	83485	0.1275833278	1.174252777	0.108650650267953
Lasius_niger	67767	0.05624946584	0.306350442	0.183611505414443
Nylanderia_fulva	613905	0.07802131488	0.6228456215	0.125265896053184
Camponotus_floridanus	104421	0.06712042987	0.6135795234	0.109391574050693
Formica_exsecta	72781	0.02760118092	0.2020586689	0.136599835435222
Cataglyphis_hispanica	1086592	0.03891099056	0.349536485	0.111321685231228
Pogonomyrmex_barbatus	144034	0.1206254333	1.289762382	0.0935253151925158
Vollenhovia_emeryi	411798	0.09841313193	0.7931395922	0.124080468177138
Temnothorax_curvispinosus	300111	0.008065255838	0.04263197206	0.189183268994664
Temnothorax_longispinosus	300112	0.009743576684	0.05361907746	0.181718469350181
Monomorium_pharaonis	307658	0.07382265718	0.7061159116	0.104547505540165
Solenopsis_invicta	13686	0.06430818098	0.6141423239	0.104712179046092
Wasmannia_auropunctata	64793	0.08075365827	0.663854778	0.121643559625024
Cyphomyrmex_costatus	456900	0.05889385576	0.4912710781	0.119880567746371
Trachymyrmex_cornetzi	471704	0.02175016959	0.159103618	0.136704431133678
Trachymyrmex_zeteki	64791	0.03835370053	0.2895942648	0.132439434035366
Trachymyrmex_septentrionalis	34720	0.02511729243	0.1735977372	0.144686750156557
Atta_colombica	520822	0.003377342219	0.02473366964	0.136548367798123
Atta_cephalotes	12957	0.007284064886	0.03451400328	0.211046653351306
Acromyrmex_charruanus	2715315	0.00789627196	0.03327993529	0.237268248606622
Acromyrmex_heyeri	230685	0.004132275649	0.0253504111	0.163006257874848
Acromyrmex_echinatior	103372	0.004444357763	0.02727039943	0.162973695138135
Pseudoatta_argentina	621737	0.02563314268	0.1387406406	0.184755833396375
Acromyrmex_insinuator	230686	0.00543212462	0.0291858186	0.186122057923022
