species	clade	NCBI.taxid	clade_dnds
Ploceus_nigricollis	Aves	441696	Aves
Cinclus_mexicanus	Aves	161649	Aves
Illadopsis_cleaveri	Aves	201329	Aves
Serilophus_lunatus	Aves	239386	Aves
Oxyruncus_cristatus	Aves	114331	Aves
Leptocoma_aspasia	Aves	2585812	Aves
Zosterops_hypoxanthus	Aves	2485327	Aves
Tyrannus_savana	Aves	137541	Aves
Mesembrinibis_cayennensis	Aves	1118748	Aves
Formicarius_rufipectus	Aves	1118560	Aves
Chordeiles_acutipennis	Aves	118183	Aves
Amazona_guildingii	Aves	175529	Aves
Podilymbus_podiceps	Aves	9252	Aves
Phaetusa_simplex	Aves	297813	Aves
Corythaixoides_concolor	Aves	103956	Aves
Anthoscopus_minutus	Aves	156561	Aves
Nyctiprogne_leucopyga	Aves	382315	Aves
Alopecoenas_beccarii	Aves	262131	Aves
Fregetta_grallaria	Aves	79628	Aves
Trogon_melanurus	Aves	56311	Aves
Rhipidura_dahli	Aves	667186	Aves
Dicrurus_megarhynchus	Aves	450177	Aves
Odontophorus_gujanensis	Aves	886794	Aves
Chloroceryle_aenea	Aves	176938	Aves
Ramphastos_sulfuratus	Aves	322582	Aves
Quiscalus_mexicanus	Aves	64278	Aves
Galbula_dea	Aves	1109041	Aves
Catharus_fuscescens	Aves	159581	Aves
Callaeas_wilsoni	Aves	1347786	Aves
Ceuthmochares_aereus	Aves	1961834	Aves
Prunella_himalayana	Aves	670356	Aves
Mohoua_ochrocephala	Aves	874463	Aves
Ibidorhyncha_struthersii	Aves	425643	Aves
Nesospiza_acunhae	Aves	381881	Aves
Falcunculus_frontatus	Aves	254539	Aves
Oreocharis_arfaki	Aves	979223	Aves
Malurus_elegans	Aves	720584	Aves
Machaerirhynchus_nigripectus	Aves	1160894	Aves
Grantiella_picta	Aves	266360	Aves
Dasyornis_broadbenti	Aves	243059	Aves
Origma_solitaria	Aves	720586	Aves
Probosciger_aterrimus	Aves	141839	Aves
Chroicocephalus_maculipennis	Aves	287016	Aves
Columbina_picui	Aves	115618	Aves
Ptilonorhynchus_violaceus	Aves	28724	Aves
Urocynchramus_pylzowi	Aves	571890	Aves
Pterocles_burchelli	Aves	2585816	Aves
Neopipo_cinnamomea	Aves	456388	Aves
Furnarius_figulus	Aves	463165	Aves
Erythrocercus_mccallii	Aves	107208	Aves
Toxostoma_redivivum	Aves	99882	Aves
Polioptila_caerulea	Aves	66707	Aves
Burhinus_bistriatus	Aves	240201	Aves
Lanius_ludovicianus	Aves	28713	Aves
Pachyramphus_minor	Aves	369605	Aves
Regulus_satrapa	Aves	13245	Aves
