species	NCBI.taxid	No_AAS_total	No_CDS_total	No_AAS_Busco	No_CDS_Busco	No_AAS_CDS_corresponding	nb_gene_85
Papilio_machaon	76193	18225	18225	954	954	950	716
Mustela_putorius	9668	57554	57696	911	911	907	707
Lates_calcarifer	8187	45223	45427	891	891	878	684
Takifugu_flavidus	433684	29408	29408	883	883	883	681
Tursiops_truncatus	9739	55739	55802	900	900	898	696
Elysia_chlorotica	188477	23871	23871	936	936	933	706
Haliotis_rufescens	6454	55609	55609	957	957	957	718
Angiostrongylus_cantonensis	6313	10314	10314	661	661	645	509
Trichuris_suis	68888	9829	9829	786	786	786	617
Homarus_americanus	6706	40732	40732	941	941	885	670
Penaeus_vannamei	6689	33273	33273	837	837	685	513
Echinococcus_granulosus	6210	11319	11319	801	801	801	610
Schistosoma_haematobium	6185	8934	8934	764	764	761	588
Acropora_digitifera	70779	33878	33878	825	825	792	598
Pieris_rapae	64459	20497	20497	953	953	953	716
Coptotermes_formosanus	36987	12984	12984	913	913	884	670
Myotis_lucifugus	59463	43106	43257	904	904	861	666
Anolis_carolinensis	28377	34826	34878	908	908	753	578
Gymnogyps_californianus	33616	25288	25333	883	883	843	677
Fundulus_heteroclitus	8078	49534	49787	895	895	883	683
Pteropus_vampyrus	132908	43630	43832	953	953	942	720
Necator_americanus	51031	19153	19153	799	799	798	622
Dictyocaulus_viviparus	29172	14171	14171	808	808	799	628
Oesophagostomum_dentatum	61180	25289	25289	697	697	684	535
Melitaea_cinxia	113334	14667	14667	966	966	959	721
Clonorchis_sinensis	79923	14408	14408	817	817	814	628
Acropora_millepora	45264	41860	41860	867	867	851	644
Drosophila_mauritiana	7226	23239	23239	954	954	953	722
Drosophila_sechellia	7238	23935	23935	952	952	950	720
Drosophila_erecta	7220	23135	23135	954	954	952	721
Acanthocheilonema_viteae	6277	10138	10397	815	815	795	610
Varroa_destructor	109461	30221	30221	927	927	927	706
Loa_loa	7209	15440	15440	878	878	878	670
Steinernema_carpocapsae	34508	36556	36561	787	787	787	628
Penaeus_chinensis	139456	34830	34830	932	932	911	687
Lepeophtheirus_salmonis	72036	20654	20654	890	890	872	656
