species	NCBI.txid	dN	dS	dNdS
Trichuris_suis	68888	0.8571248102	8.395121389	0.102097965054213
Echinococcus_granulosus	6210	0.6680284091	6.605784112	0.101127799179278
Clonorchis_sinensis	79923	0.4781602377	4.818247084	0.0992394597794354
Schistosoma_haematobium	6185	0.5250265348	5.261121806	0.0997936474691078
Ramazzottius_varieornatus	947166	0.8822970065	8.617189488	0.102388024277365
Pecten_maximus	6579	0.4502648058	4.308273692	0.104511653156134
Elysia_chlorotica	188477	0.5589017097	5.407922237	0.103348695710914
Haliotis_rufescens	6454	0.3113121799	2.987828732	0.104193448762913
Gigantopelta_aegis	1735272	0.3420404071	3.31972091	0.103032880285108
Octopus_bimaculoides	37653	0.5508485051	5.463270991	0.100827600535915
Owenia_fusiformis	6347	0.5016397058	4.895950267	0.102460131015052
Acropora_digitifera	70779	0.0238895702	0.1105784896	0.216041748141223
Acropora_millepora	45264	0.01090020415	0.06241069953	0.174652811650676
Stylophora_pistillata	50429	0.176799525	1.598160723	0.110626874040628
Orbicella_faveolata	48498	0.1384414649	1.1968837	0.115668268270342
Hydra_vulgaris	6087	0.7250234179	7.233215137	0.100235290139691
Asterias_rubens	7604	0.4350573129	4.236261107	0.102698417758318
Anneissia_japonica	1529436	0.4604465276	4.585792058	0.100407197224903
Branchiostoma_floridae	7739	0.4593813928	4.182363581	0.109837746982811
Xenopus_tropicalis	8364	0.2470004509	2.60879594	0.0946798663371118
Chiroxiphia_lanceolata	296741	0.0090948678	0.06127243451	0.148433269752252
Pipra_filicauda	649802	0.005611180047	0.03929829484	0.14278431341221
Lepidothrix_coronata	321398	0.008728668484	0.0476951042	0.183009737171305
Corvus_cornix	181096	0.02095103887	0.1504739519	0.139233658752602
Hirundo_rustica	43150	0.02489062936	0.1924899869	0.129308696835908
Catharus_ustulatus	91951	0.02283356367	0.1680738877	0.135854319683235
Lamprotornis_superbus	245042	0.01919249608	0.09291099962	0.206568610374402
Sturnus_vulgaris	9172	0.0103206358	0.07618379967	0.135470216039436
Molothrus_ater	84834	0.0175613626	0.1267217026	0.138582123185583
Melospiza_melodia	44397	0.02994672348	0.1920303088	0.155947900449348
Oenanthe_oenanthe	279966	0.03732252311	0.2709519197	0.137745926108676
Lonchura_striata	40157	0.01540927504	0.09794894952	0.157319451770676
Chloebia_gouldiae	44316	0.0259051929	0.1220447294	0.212259824962175
Onychostruthus_taczanowskii	356909	0.01814570121	0.1322622845	0.137194826768624
Motacilla_alba	45807	0.01669453601	0.1249073129	0.133655393126306
Camarhynchus_parvulus	87175	0.0202556176	0.1490488618	0.135899176655101
Cyanistes_caeruleus	156563	0.02373624555	0.179107586	0.132525070992805
Patagioenas_fasciata	372321	0.05578985743	0.474513569	0.117572733583937
Gymnogyps_californianus	33616	0.01661036423	0.1200807088	0.138326667089094
Eudyptes_filholi	1419345	0.0417215883	0.2177993983	0.191559704138999
Strigops_habroptila	2489341	0.05766788138	0.4015864591	0.14360016398272
Aquila_chrysaetos	8962	0.02235448408	0.1777492135	0.125764179991716
Calidris_pugnax	198806	0.03954715491	0.3897370457	0.101471377551421
Tyto_alba	56313	0.03534454947	0.2529047816	0.139754374141892
Anas_platyrhynchos	8839	0.02209102366	0.1813023017	0.121846349731146
Anser_cygnoides	8845	0.01224805251	0.1036479225	0.118169782997821
Oxyura_jamaicensis	8884	0.01644379538	0.1267946174	0.129688434077013
Gallus_gallus	9031	0.02776284542	0.2392966034	0.116018551979163
Numida_meleagris	8996	0.01942524976	0.1762315133	0.110225744512176
Apteryx_rowi	308060	0.02392767331	0.1724400492	0.13875937417675
Struthio_camelus	8801	0.026721173	0.2257525642	0.118364870382278
Alligator_mississippiensis	8496	0.02351302813	0.1299585858	0.180927085234564
