species	db	value	unity	value_used	category	id
Panthera_tigris	ADW_ML	423	kg	423	weight	Panthera_tigris;ADW;weight
Ursus_americanus	ADW_ML	409	kg	409	weight	Ursus_americanus;ADW;weight
Budorcas_taxicolor	ADW_ML	400	kg	400	weight	Budorcas_taxicolor;ADW;weight
Zalophus_californianus	ADW_ML	390	kg	390	weight	Zalophus_californianus;ADW;weight
Alligator_mississippiensis	ADW_ML	360	kg	360	weight	Alligator_mississippiensis;ADW;weight
Equus_asinus	ADW_ML	320	kg	320	weight	Equus_asinus;ADW;weight
Rangifer_tarandus	ADW_ML	318	kg	318	weight	Rangifer_tarandus;ADW;weight
Pristis_pectinata	ADW_ML	315	kg	315	weight	Pristis_pectinata;ADW;weight
Equus_quagga	ADW_ML	300	kg	300	weight	Equus_quagga;ADW;weight
Callorhinus_ursinus	ADW_ML	275	kg	275	weight	Callorhinus_ursinus;ADW;weight
Gorilla_gorilla	ADW_ML	275	kg	275	weight	Gorilla_gorilla;ADW;weight
Panthera_leo	ADW_ML	272	kg	272	weight	Panthera_leo;ADW;weight
Sus_scrofa	ADW_ML	272	kg	272	weight	Sus_scrofa;ADW;weight
Halichoerus_grypus	ADW_ML	220	kg	220	weight	Halichoerus_grypus;ADW;weight
Chelonia_mydas	ADW_ML	200	kg	200	weight	Chelonia_mydas;ADW;weight
Lagenorhynchus_obliquidens	ADW_ML	200	kg	200	weight	Lagenorhynchus_obliquidens;ADW;weight
Oryx_dammah	ADW_ML	200	kg	200	weight	Oryx_dammah;ADW;weight
Ovis_aries	ADW_ML	200	kg	200	weight	Ovis_aries;ADW;weight
Ovis_ammon	ADW_ML	185	kg	185	weight	Ovis_ammon;ADW;weight
Gavialis_gangeticus	ADW_ML	181	kg	181	weight	Gavialis_gangeticus;ADW;weight
Phoca_vitulina	ADW_ML	170	kg	170	weight	Phoca_vitulina;ADW;weight
Lipotes_vexillifer	ADW_ML	167	kg	167	weight	Lipotes_vexillifer;ADW;weight
Varanus_komodoensis	ADW_ML	165	kg	165	weight	Varanus_komodoensis;ADW;weight
Megalops_atlanticus	ADW_ML	161	kg	161	weight	Megalops_atlanticus;ADW;weight
Phacochoerus_africanus	ADW_ML	150	kg	150	weight	Phacochoerus_africanus;ADW;weight
Atractosteus_spatula	ADW_ML	137	kg	137	weight	Atractosteus_spatula;ADW;weight
Odocoileus_virginianus	ADW_ML	137	kg	137	weight	Odocoileus_virginianus;ADW;weight
Struthio_camelus	ADW_ML	130	kg	130	weight	Struthio_camelus;ADW;weight
Ailuropoda_melanoleuca	ADW_ML	125	kg	125	weight	Ailuropoda_melanoleuca;ADW;weight
Puma_concolor	ADW_ML	120	kg	120	weight	Puma_concolor;ADW;weight
Capra_hircus	ADW_ML	113	kg	113	weight	Capra_hircus;ADW;weight
Gopherus_flavomarginatus	ADW_ML	100	kg	100	weight	Gopherus_flavomarginatus;ADW;weight
Gadus_morhua	ADW_ML	96	kg	96	weight	Gadus_morhua;ADW;weight
Pongo_abelii	ADW_ML	90	kg	90	weight	Pongo_abelii;ADW;weight
Pongo_pygmaeus	ADW_ML	87	kg	87	weight	Pongo_pygmaeus;ADW;weight
Latimeria_chalumnae	ADW_ML	82.1	kg	82.1	weight	Latimeria_chalumnae;ADW;weight
Orycteropus_afer	ADW_ML	82	kg	82	weight	Orycteropus_afer;ADW;weight
Canis_lupus	ADW_ML	80	kg	80	weight	Canis_lupus;ADW;weight
Crocuta_crocuta	ADW_ML	80	kg	80	weight	Crocuta_crocuta;ADW;weight
Acinonyx_jubatus	ADW_ML	72	kg	72	weight	Acinonyx_jubatus;ADW;weight
Pan_troglodytes	ADW_ML	70	kg	70	weight	Pan_troglodytes;ADW;weight
Polyodon_spathula	ADW_ML	70	kg	70	weight	Polyodon_spathula;ADW;weight
Seriola_aureovittata	ADW_ML	70	kg	70	weight	Seriola_aureovittata;ADW;weight
Seriola_lalandi	ADW_ML	70	kg	70	weight	Seriola_lalandi;ADW;weight
Panthera_pardus	ADW_ML	65	kg	65	weight	Panthera_pardus;ADW;weight
Oncorhynchus_tshawytscha	ADW_ML	61.4	kg	61.4	weight	Oncorhynchus_tshawytscha;ADW;weight
Pan_paniscus	ADW_ML	61	kg	61	weight	Pan_paniscus;ADW;weight
Clarias_gariepinus	ADW_ML	59	kg	59	weight	Clarias_gariepinus;ADW;weight
Lates_calcarifer	ADW_ML	55	kg	55	weight	Lates_calcarifer;ADW;weight
Phocoena_sinus	ADW_ML	55	kg	55	weight	Phocoena_sinus;ADW;weight
Aptenodytes_forsteri	ADW_ML	45	kg	45	weight	Aptenodytes_forsteri;ADW;weight
Enhydra_lutris	ADW_ML	45	kg	45	weight	Enhydra_lutris;ADW;weight
Hyaena_hyaena	ADW_ML	45	kg	45	weight	Hyaena_hyaena;ADW;weight
Ictalurus_furcatus	ADW_ML	45	kg	45	weight	Ictalurus_furcatus;ADW;weight
Pontoporia_blainvillei	ADW_ML	40500	g	40.5	weight	Pontoporia_blainvillei;ADW;weight
Dromaius_novaehollandiae	ADW_ML	40	kg	40	weight	Dromaius_novaehollandiae;ADW;weight
Salmo_salar	ADW_ML	35.89	kg	35.89	weight	Salmo_salar;ADW;weight
Muntiacus_muntjak	ADW_ML	35	kg	35	weight	Muntiacus_muntjak;ADW;weight
Vombatus_ursinus	ADW_ML	35	kg	35	weight	Vombatus_ursinus;ADW;weight
Castor_canadensis	ADW_ML	32	kg	32	weight	Castor_canadensis;ADW;weight
Gulo_gulo	ADW_ML	30	kg	30	weight	Gulo_gulo;ADW;weight
Oncorhynchus_mykiss	ADW_ML	25.4	kg	25.4	weight	Oncorhynchus_mykiss;ADW;weight
Mandrillus_leucophaeus	ADW_ML	25	kg	25	weight	Mandrillus_leucophaeus;ADW;weight
Papio_anubis	ADW_ML	25	kg	25	weight	Papio_anubis;ADW;weight
Salmo_trutta	ADW_ML	24	kg	24	weight	Salmo_trutta;ADW;weight
Morone_saxatilis	ADW_ML	23	kg	23	weight	Morone_saxatilis;ADW;weight
Theropithecus_gelada	ADW_ML	21	kg	21	weight	Theropithecus_gelada;ADW;weight
Cyprinus_carpio	ADW_ML	20	kg	20	weight	Cyprinus_carpio;ADW;weight
Electrophorus_electricus	ADW_ML	20	kg	20	weight	Electrophorus_electricus;ADW;weight
Homarus_americanus	ADW_ML	20	kg	20	weight	Homarus_americanus;ADW;weight
Ardeotis_kori	ADW_ML	19	kg	19	weight	Ardeotis_kori;ADW;weight
Coregonus_clupeaformis	ADW_ML	19	kg	19	weight	Coregonus_clupeaformis;ADW;weight
Aptenodytes_patagonicus	ADW_ML	17.3	kg	17.3	weight	Aptenodytes_patagonicus;ADW;weight
Lynx_canadensis	ADW_ML	17.3	kg	17.3	weight	Lynx_canadensis;ADW;weight
Rhinopithecus_bieti	ADW_ML	17	kg	17	weight	Rhinopithecus_bieti;ADW;weight
Meles_meles	ADW_ML	16.7	kg	16.7	weight	Meles_meles;ADW;weight
Chelydra_serpentina	ADW_ML	16	kg	16	weight	Chelydra_serpentina;ADW;weight
Lynx_pardinus	ADW_ML	15	kg	15	weight	Lynx_pardinus;ADW;weight
Lynx_rufus	ADW_ML	15	kg	15	weight	Lynx_rufus;ADW;weight
Macaca_nemestrina	ADW_ML	14.5	kg	14.5	weight	Macaca_nemestrina;ADW;weight
Cygnus_olor	ADW_ML	14300	g	14.3	weight	Cygnus_olor;ADW;weight
Cercocebus_atys	ADW_ML	14	kg	14	weight	Cercocebus_atys;ADW;weight
Chanos_chanos	ADW_ML	14	kg	14	weight	Chanos_chanos;ADW;weight
Lontra_canadensis	ADW_ML	14	kg	14	weight	Lontra_canadensis;ADW;weight
Trachypithecus_francoisi	ADW_ML	14	kg	14	weight	Trachypithecus_francoisi;ADW;weight
Vulpes_vulpes	ADW_ML	14	kg	14	weight	Vulpes_vulpes;ADW;weight
Ictalurus_punctatus	ADW_ML	13732.5	g	13.7325	weight	Ictalurus_punctatus;ADW;weight
Macaca_mulatta	ADW_ML	12	kg	12	weight	Macaca_mulatta;ADW;weight
Prionailurus_viverrinus	ADW_ML	12	kg	12	weight	Prionailurus_viverrinus;ADW;weight
Sarcophilus_harrisii	ADW_ML	12	kg	12	weight	Sarcophilus_harrisii;ADW;weight
Symphalangus_syndactylus	ADW_ML	12	kg	12	weight	Symphalangus_syndactylus;ADW;weight
Phascolarctos_cinereus	ADW_ML	11.8	kg	11.8	weight	Phascolarctos_cinereus;ADW;weight
Colobus_angolensis	ADW_ML	11.7	kg	11.7	weight	Colobus_angolensis;ADW;weight
Gymnogyps_californianus	ADW_ML	11000	g	11	weight	Gymnogyps_californianus;ADW;weight
Meleagris_gallopavo	ADW_ML	11	kg	11	weight	Meleagris_gallopavo;ADW;weight
Micropterus_salmoides	ADW_ML	10.1	kg	10.1	weight	Micropterus_salmoides;ADW;weight
Dicentrarchus_labrax	ADW_ML	10	kg	10	weight	Dicentrarchus_labrax;ADW;weight
Nyctereutes_procyonoides	ADW_ML	10	kg	10	weight	Nyctereutes_procyonoides;ADW;weight
Albula_goreensis	ADW_ML	9	kg	9	weight	Albula_goreensis;ADW;weight
Harpia_harpyja	ADW_ML	9	kg	9	weight	Harpia_harpyja;ADW;weight
Hylobates_moloch	ADW_ML	9	kg	9	weight	Hylobates_moloch;ADW;weight
Puma_yagouaroundi	ADW_ML	9	kg	9	weight	Puma_yagouaroundi;ADW;weight
Cygnus_atratus	ADW_ML	8750	g	8.75	weight	Cygnus_atratus;ADW;weight
Grus_americana	ADW_ML	8.5	kg	8.5	weight	Grus_americana;ADW;weight
Pygoscelis_papua	ADW_ML	8.5	kg	8.5	weight	Pygoscelis_papua;ADW;weight
Chlorocebus_sabaeus	ADW_ML	8	kg	8	weight	Chlorocebus_sabaeus;ADW;weight
Choloepus_didactylus	ADW_ML	8	kg	8	weight	Choloepus_didactylus;ADW;weight
Megadyptes_antipodes	ADW_ML	8	kg	8	weight	Megadyptes_antipodes;ADW;weight
Mugil_cephalus	ADW_ML	8	kg	8	weight	Mugil_cephalus;ADW;weight
Dasypus_novemcinctus	ADW_ML	7.7	kg	7.7	weight	Dasypus_novemcinctus;ADW;weight
Spheniscus_magellanicus	ADW_ML	7.5	kg	7.5	weight	Spheniscus_magellanicus;ADW;weight
Leopardus_geoffroyi	ADW_ML	7.4	kg	7.4	weight	Leopardus_geoffroyi;ADW;weight
Crotalus_adamanteus	ADW_ML	7	kg	7	weight	Crotalus_adamanteus;ADW;weight
Macaca_fascicularis	ADW_ML	7	kg	7	weight	Macaca_fascicularis;ADW;weight
Prionailurus_bengalensis	ADW_ML	7	kg	7	weight	Prionailurus_bengalensis;ADW;weight
Tachyglossus_aculeatus	ADW_ML	7	kg	7	weight	Tachyglossus_aculeatus;ADW;weight
Lutra_lutra	ADW_ML	6750	g	6.75	weight	Lutra_lutra;ADW;weight
Anguilla_anguilla	ADW_ML	6599	g	6.599	weight	Anguilla_anguilla;ADW;weight
Eudyptes_sclateri	ADW_ML	6.5	kg	6.5	weight	Eudyptes_sclateri;ADW;weight
Aquila_chrysaetos	ADW_ML	6125	g	6.125	weight	Aquila_chrysaetos;ADW;weight
Eudyptes_chrysolophus	ADW_ML	6000	g	6	weight	Eudyptes_chrysolophus;ADW;weight
Eudyptes_schlegeli	ADW_ML	6	kg	6	weight	Eudyptes_schlegeli;ADW;weight
Marmota_monax	ADW_ML	6	kg	6	weight	Marmota_monax;ADW;weight
Oncorhynchus_kisutch	ADW_ML	6	kg	6	weight	Oncorhynchus_kisutch;ADW;weight
Salvelinus_fontinalis	ADW_ML	6	kg	6	weight	Salvelinus_fontinalis;ADW;weight
Xyrauchen_texanus	ADW_ML	6	kg	6	weight	Xyrauchen_texanus;ADW;weight
Nomascus_leucogenys	ADW_ML	5.7	kg	5.7	weight	Nomascus_leucogenys;ADW;weight
Alosa_sapidissima	ADW_ML	5.4	kg	5.4	weight	Alosa_sapidissima;ADW;weight
Felis_catus	ADW_ML	5.4	kg	5.4	weight	Felis_catus;ADW;weight
Marmota_flaviventris	ADW_ML	5.22	kg	5.22	weight	Marmota_flaviventris;ADW;weight
Vulpes_lagopus	ADW_ML	5200	g	5.2	weight	Vulpes_lagopus;ADW;weight
Pygoscelis_antarcticus	ADW_ML	5000	g	5	weight	Pygoscelis_antarcticus;ADW;weight
Sepia_pharaonis	ADW_ML	5	kg	5	weight	Sepia_pharaonis;ADW;weight
Pygoscelis_adeliae	ADW_ML	4.99	kg	4.99	weight	Pygoscelis_adeliae;ADW;weight
Marmota_marmota	ADW_ML	4540	g	4.54	weight	Marmota_marmota;ADW;weight
Trichosurus_vulpecula	ADW_ML	4500	g	4.5	weight	Trichosurus_vulpecula;ADW;weight
Haliaeetus_leucocephalus	ADW_ML	4.3	kg	4.3	weight	Haliaeetus_leucocephalus;ADW;weight
Propithecus_coquereli	ADW_ML	4.3	kg	4.3	weight	Propithecus_coquereli;ADW;weight
Sagittarius_serpentarius	ADW_ML	4270	g	4.27	weight	Sagittarius_serpentarius;ADW;weight
Balearica_regulorum	ADW_ML	4	kg	4	weight	Balearica_regulorum;ADW;weight
Callorhinchus_milii	ADW_ML	4	kg	4	weight	Callorhinchus_milii;ADW;weight
Lepisosteus_oculatus	ADW_ML	4	kg	4	weight	Lepisosteus_oculatus;ADW;weight
Oncorhynchus_nerka	ADW_ML	4	kg	4	weight	Oncorhynchus_nerka;ADW;weight
Strigops_habroptila	ADW_ML	4000	g	4	weight	Strigops_habroptila;ADW;weight
Phalacrocorax_carbo	ADW_ML	3.7	kg	3.7	weight	Phalacrocorax_carbo;ADW;weight
Ameiurus_melas	ADW_ML	3.63	kg	3.63	weight	Ameiurus_melas;ADW;weight
Trachemys_scripta	ADW_ML	3200	grams	3.2	weight	Trachemys_scripta;ADW;weight
Anser_cygnoides	ADW_ML	3150	g	3.15	weight	Anser_cygnoides;ADW;weight
Spheniscus_demersus	ADW_ML	3.1	kg	3.1	weight	Spheniscus_demersus;ADW;weight
Anseranas_semipalmata	ADW_ML	3	kg	3	weight	Anseranas_semipalmata;ADW;weight
Carassius_auratus	ADW_ML	3	kg	3	weight	Carassius_auratus;ADW;weight
Centrocercus_urophasianus	ADW_ML	3	kg	3	weight	Centrocercus_urophasianus;ADW;weight
Eudyptes_chrysocome	ADW_ML	3000	g	3	weight	Eudyptes_chrysocome;ADW;weight
Salvelinus_namaycush	ADW_ML	3	kg	3	weight	Salvelinus_namaycush;ADW;weight
Micropterus_dolomieu	ADW_ML	2975.5	g	2.9755	weight	Micropterus_dolomieu;ADW;weight
Gallus_gallus	ADW_ML	2580.2	g	2.5802	weight	Gallus_gallus;ADW;weight
Buceros_rhinoceros	ADW_ML	2580	g	2.58	weight	Buceros_rhinoceros;ADW;weight
Lemur_catta	ADW_ML	2555	g	2.555	weight	Lemur_catta;ADW;weight
Ornithorhynchus_anatinus	ADW_ML	2.5	kg	2.5	weight	Ornithorhynchus_anatinus;ADW;weight
Oryctolagus_cuniculus	ADW_ML	2.5	kg	2.5	weight	Oryctolagus_cuniculus;ADW;weight
Petromyzon_marinus	ADW_ML	2.5	kg	2.5	weight	Petromyzon_marinus;ADW;weight
Sula_dactylatra	ADW_ML	2353	g	2.353	weight	Sula_dactylatra;ADW;weight
Manis_pentadactyla	ADW_ML	2350	g	2.35	weight	Manis_pentadactyla;ADW;weight
Aplysia_californica	ADW_ML	2.3	kg	2.3	weight	Aplysia_californica;ADW;weight
Falco_rusticolus	ADW_ML	2100	g	2.1	weight	Falco_rusticolus;ADW;weight
Cathartes_aura	ADW_ML	2	kg	2	weight	Cathartes_aura;ADW;weight
Pandion_haliaetus	ADW_ML	2000	g	2	weight	Pandion_haliaetus;ADW;weight
Numida_meleagris	ADW_ML	1842	g	1.842	weight	Numida_meleagris;ADW;weight
Gavia_stellata	ADW_ML	1816	g	1.816	weight	Gavia_stellata;ADW;weight
Fregata_magnificens	ADW_ML	1815	g	1.815	weight	Fregata_magnificens;ADW;weight
Mustela_putorius	ADW_ML	1710	g	1.71	weight	Mustela_putorius;ADW;weight
Pteropus_giganteus	ADW_ML	1600	g	1.6	weight	Pteropus_giganteus;ADW;weight
Podiceps_cristatus	ADW_ML	1490	g	1.49	weight	Podiceps_cristatus;ADW;weight
Esox_lucius	ADW_ML	1.4	kg	1.4	weight	Esox_lucius;ADW;weight
Accipiter_gentilis	ADW_ML	1364	g	1.364	weight	Accipiter_gentilis;ADW;weight
Anhinga_anhinga	ADW_ML	1350	g	1.35	weight	Anhinga_anhinga;ADW;weight
Chionoecetes_opilio	ADW_ML	1.35	kg	1.35	weight	Chionoecetes_opilio;ADW;weight
Falco_cherrug	ADW_ML	1300	g	1.3	weight	Falco_cherrug;ADW;weight
Phasianus_colchicus	ADW_ML	1263	g	1.263	weight	Phasianus_colchicus;ADW;weight
Clarias_magur	ADW_ML	1.2	kg	1.2	weight	Clarias_magur;ADW;weight
Erinaceus_europaeus	ADW_ML	1200	g	1.2	weight	Erinaceus_europaeus;ADW;weight
Eudyptula_minor	ADW_ML	1.2	kg	1.2	weight	Eudyptula_minor;ADW;weight
Saimiri_boliviensis	ADW_ML	1135	g	1.135	weight	Saimiri_boliviensis;ADW;weight
Cavia_porcellus	ADW_ML	1100	g	1.1	weight	Cavia_porcellus;ADW;weight
Probosciger_aterrimus	ADW_ML	1100	g	1.1	weight	Probosciger_aterrimus;ADW;weight
Pteropus_vampyrus	ADW_ML	1.1	kg	1.1	weight	Pteropus_vampyrus;ADW;weight
Anas_platyrhynchos	ADW_ML	1082	g	1.082	weight	Anas_platyrhynchos;ADW;weight
Perca_flavescens	ADW_ML	1055.25	g	1.05525	weight	Perca_flavescens;ADW;weight
Uria_aalge	ADW_ML	1044	g	1.044	weight	Uria_aalge;ADW;weight
Aythya_fuligula	ADW_ML	1026.2	g	1.0262	weight	Aythya_fuligula;ADW;weight
Fulmarus_glacialis	ADW_ML	1000	g	1	weight	Fulmarus_glacialis;ADW;weight
Nipponia_nippon	ADW_ML	1000	g	1	weight	Nipponia_nippon;ADW;weight
Aotus_nancymaae	ADW_ML	950	g	0.95	weight	Aotus_nancymaae;ADW;weight
Nestor_notabilis	ADW_ML	922	g	0.922	weight	Nestor_notabilis;ADW;weight
Falco_peregrinus	ADW_ML	907	g	0.907	weight	Falco_peregrinus;ADW;weight
Falco_biarmicus	ADW_ML	900	g	0.9	weight	Falco_biarmicus;ADW;weight
Pantherophis_guttatus	ADW_ML	900	g	0.9	weight	Pantherophis_guttatus;ADW;weight
Otolemur_garnettii	ADW_ML	822	g	0.822	weight	Otolemur_garnettii;ADW;weight
Chinchilla_lanigera	ADW_ML	0.8	kg	0.8	weight	Chinchilla_lanigera;ADW;weight
Herpetotheres_cachinnans	ADW_ML	800	g	0.8	weight	Herpetotheres_cachinnans;ADW;weight
Tympanuchus_pallidicinctus	ADW_ML	800	g	0.8	weight	Tympanuchus_pallidicinctus;ADW;weight
Oxyura_jamaicensis	ADW_ML	795	g	0.795	weight	Oxyura_jamaicensis;ADW;weight
Suricata_suricatta	ADW_ML	776	g	0.776	weight	Suricata_suricatta;ADW;weight
Sciurus_carolinensis	ADW_ML	750	g	0.75	weight	Sciurus_carolinensis;ADW;weight
Malaclemys_terrapin	ADW_ML	720	g	0.72	weight	Malaclemys_terrapin;ADW;weight
Aix_galericulata	ADW_ML	693	g	0.693	weight	Aix_galericulata;ADW;weight
Nycticebus_coucang	ADW_ML	685	g	0.685	weight	Nycticebus_coucang;ADW;weight
Clupea_harengus	ADW_ML	0.68	kg	0.68	weight	Clupea_harengus;ADW;weight
Pteropus_alecto	ADW_ML	667	g	0.667	weight	Pteropus_alecto;ADW;weight
Tyto_alba	ADW_ML	620	g	0.62	weight	Tyto_alba;ADW;weight
Podilymbus_podiceps	ADW_ML	568	g	0.568	weight	Podilymbus_podiceps;ADW;weight
Cepphus_grylle	ADW_ML	550	g	0.55	weight	Cepphus_grylle;ADW;weight
Ciccaba_nigrolineata	ADW_ML	535	g	0.535	weight	Ciccaba_nigrolineata;ADW;weight
Lithobates_catesbeianus	ADW_ML	0.5	kg	0.5	weight	Lithobates_catesbeianus;ADW;weight
Rattus_norvegicus	ADW_ML	500	g	0.5	weight	Rattus_norvegicus;ADW;weight
Crotalus_tigris	ADW_ML	454	g	0.454	weight	Crotalus_tigris;ADW;weight
Corvus_brachyrhynchos	ADW_ML	450	g	0.45	weight	Corvus_brachyrhynchos;ADW;weight
Stercorarius_parasiticus	ADW_ML	450	g	0.45	weight	Stercorarius_parasiticus;ADW;weight
Lagopus_leucura	ADW_ML	425	g	0.425	weight	Lagopus_leucura;ADW;weight
Ramphastos_sulfuratus	ADW_ML	400	g	0.4	weight	Ramphastos_sulfuratus;ADW;weight
Steatornis_caripensis	ADW_ML	400	g	0.4	weight	Steatornis_caripensis;ADW;weight
Chrysemys_picta	ADW_ML	371.812	g	0.371812	weight	Chrysemys_picta;ADW;weight
Rynchops_niger	ADW_ML	365	g	0.365	weight	Rynchops_niger;ADW;weight
Callithrix_jacchus	ADW_ML	360	g	0.36	weight	Callithrix_jacchus;ADW;weight
Columba_livia	ADW_ML	358.7	g	0.3587	weight	Columba_livia;ADW;weight
Neotoma_lepida	ADW_ML	350	g	0.35	weight	Neotoma_lepida;ADW;weight
Geococcyx_californianus	ADW_ML	341	g	0.341	weight	Geococcyx_californianus;ADW;weight
Penaeus_monodon	ADW_ML	320	g	0.32	weight	Penaeus_monodon;ADW;weight
Rissa_tridactyla	ADW_ML	317	g	0.317	weight	Rissa_tridactyla;ADW;weight
Octodon_degus	ADW_ML	300	g	0.3	weight	Octodon_degus;ADW;weight
Rattus_rattus	ADW_ML	300	g	0.3	weight	Rattus_rattus;ADW;weight
Athene_cunicularia	ADW_ML	255	g	0.255	weight	Athene_cunicularia;ADW;weight
Arvicola_amphibius	ADW_ML	250	g	0.25	weight	Arvicola_amphibius;ADW;weight
Monopterus_albus	ADW_ML	250	g	0.25	weight	Monopterus_albus;ADW;weight
Psammomys_obesus	ADW_ML	208	g	0.208	weight	Psammomys_obesus;ADW;weight
Ochotona_curzoniae	ADW_ML	0.2	kg	0.2	weight	Ochotona_curzoniae;ADW;weight
Xenopus_laevis	ADW_ML	200	g	0.2	weight	Xenopus_laevis;ADW;weight
Arenaria_interpres	ADW_ML	190	g	0.19	weight	Arenaria_interpres;ADW;weight
Pelecanoides_urinatrix	ADW_ML	185	g	0.185	weight	Pelecanoides_urinatrix;ADW;weight
Arvicanthis_niloticus	ADW_ML	183	g	0.183	weight	Arvicanthis_niloticus;ADW;weight
Ochotona_princeps	ADW_ML	176	grams	0.176	weight	Ochotona_princeps;ADW;weight
Rousettus_aegyptiacus	ADW_ML	170	g	0.17	weight	Rousettus_aegyptiacus;ADW;weight
Monodelphis_domestica	ADW_ML	155	g	0.155	weight	Monodelphis_domestica;ADW;weight
Thamnophis_elegans	ADW_ML	150	g	0.15	weight	Thamnophis_elegans;ADW;weight
Thamnophis_sirtalis	ADW_ML	150	g	0.15	weight	Thamnophis_sirtalis;ADW;weight
Dipodomys_spectabilis	ADW_ML	145	g	0.145	weight	Dipodomys_spectabilis;ADW;weight
Meriones_unguiculatus	ADW_ML	133	g	0.133	weight	Meriones_unguiculatus;ADW;weight
Cuculus_canorus	ADW_ML	130	g	0.13	weight	Cuculus_canorus;ADW;weight
Struthidea_cinerea	ADW_ML	130	g	0.13	weight	Struthidea_cinerea;ADW;weight
Mesocricetus_auratus	ADW_ML	125	g	0.125	weight	Mesocricetus_auratus;ADW;weight
Phyllostomus_hastatus	ADW_ML	120.41	g	0.12041	weight	Phyllostomus_hastatus;ADW;weight
Eleutherodactylus_coqui	ADW_ML	117	g	0.117	weight	Eleutherodactylus_coqui;ADW;weight
Mustela_erminea	ADW_ML	116	g	0.116	weight	Mustela_erminea;ADW;weight
Coturnix_japonica	ADW_ML	115	g	0.115	weight	Coturnix_japonica;ADW;weight
Sturnus_vulgaris	ADW_ML	100	g	0.1	weight	Sturnus_vulgaris;ADW;weight
Dipodomys_ordii	ADW_ML	96	g	0.096	weight	Dipodomys_ordii;ADW;weight
Charadrius_vociferus	ADW_ML	88	g	0.088	weight	Charadrius_vociferus;ADW;weight
Acomys_russatus	ADW_ML	80	g	0.08	weight	Acomys_russatus;ADW;weight
Heterocephalus_glaber	ADW_ML	80	g	0.08	weight	Heterocephalus_glaber;ADW;weight
Aphelocoma_coerulescens	ADW_ML	78.7	g	0.0787	weight	Aphelocoma_coerulescens;ADW;weight
Glaucidium_brasilianum	ADW_ML	76.5	g	0.0765	weight	Glaucidium_brasilianum;ADW;weight
Condylura_cristata	ADW_ML	75	g	0.075	weight	Condylura_cristata;ADW;weight
Jaculus_jaculus	ADW_ML	73	g	0.073	weight	Jaculus_jaculus;ADW;weight
Agelaius_phoeniceus	ADW_ML	70.5	g	0.0705	weight	Agelaius_phoeniceus;ADW;weight
Microtus_ochrogaster	ADW_ML	70	g	0.07	weight	Microtus_ochrogaster;ADW;weight
